Data Inicial;Data Final;Ano Execução;Exercício;Administração;Código Órgão;Sigla Órgão;Orgão;Código Unidade;Unidade;Código Função;Função;Código SubFunção;SubFunção;Código Programa;Programa;PA;PAPA;Código Projeto Atividade;Projeto Atividade;Código Despesa;Despesa;Código Categoria Despesa;Categoria Despesa;Código Grupo Despesa;Grupo Despesa;Código Modalidade;Modalidade;Código Elemento;Código Fonte;Fonte; ORÇADO ; ATUALIZADO ; EMPENHADO ; LIQUIDADO ; JAN Suplementado ; JAN Empenhado ; JAN Liquidado ; FEV Suplementado ; FEV Empenhado ; FEV Liquidado ; MAR Suplementado ; MAR Empenhado ; MAR Liquidado ; ABR Suplementado ; ABR Empenhado ; ABR Liquidado ; MAI Suplementado ; MAI Empenhado ; MAI Liquidado ; JUN Suplementado ; JUN Empenhado ; JUN Liquidado ; JUL Suplementado ; JUL Empenhado ; JUL Liquidado ; AGO Suplementado ; AGO Empenhado ; AGO Liquidado ; SET Suplementado ; SET Empenhado ; SET Liquidado ; OUT Suplementado ; OUT Empenhado ; OUT Liquidado ; NOV Suplementado ; NOV Empenhado ; NOV Liquidado ; DEZ Suplementado ; DEZ Empenhado ; DEZ Liquidado 
2015-01-01 00:00:00.000;2015-12-31 23:59:59.000;2015;2015;Indireta;01;AHM       ;Autarquia Hospitalar Municipal;10;Autarquia Hospitalar Municipal;10;Saúde;302;Assistência Hospitalar e Ambulatorial;3003;Ações e serviços da saúde;Atividades;Atividades;4103;Operação e Manutenção das Unidades Hospitalares, Pronto Socorros e Pronto Atendimento                                                                 ;33903900;Outros Serviços de Terceiros -Pessoa Jurídica;3;Despesas Correntes;3;OUTRAS DESPESAS CORRENTES;90;Aplicações Diretas;39;00;Tesouro Municipal; 244.146.847,00 ; 205.888.133,17 ; 205.888.133,17 ; 205.675.244,52 ; -   ; 124.485.331,92 ; 26.400,00 ; -   ; 75.562.763,74 ; 18.519.654,94 ;-9.012.310,56 ; 3.074.581,66 ; 21.085.410,72 ;-333.484,22 ; 28.776.681,36 ; 22.100.265,67 ; -   ;-4.849.748,47 ; 16.868.375,06 ;-7.246,65 ; 1.532.156,88 ; 9.276.950,02 ;-20.650.000,00 ;-18.916.742,91 ; 12.801.892,25 ;-18.291.005,87 ;-18.953.371,41 ; 28.321.114,14 ; -   ; 3.261.434,18 ; 16.235.051,26 ; 27.035.336,37 ; 27.001.314,36 ; 23.947.339,33 ; -   ;-8.640.684,58 ; 29.123.551,44 ;-17.000.002,90 ;-6.445.583,56 ; 7.369.239,69 
2015-01-01 00:00:00.000;2015-12-31 23:59:59.000;2015;2015;Indireta;01;AHM       ;Autarquia Hospitalar Municipal;10;Autarquia Hospitalar Municipal;10;Saúde;302;Assistência Hospitalar e Ambulatorial;3003;Ações e serviços da saúde;Atividades;Atividades;2361;Hospital Municipal Professor Doutor Alípio Correa Netto - CNPJ: 46.392.148/0026-78. Buco-Maxilo                                                       ;44905200;Equipamentos e Material Permanente;4;Despesas de Capital;4;INVESTIMENTOS;90;Aplicações Diretas;52;00;Tesouro Municipal; -   ; 180.000,00 ; 174.780,00 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 180.000,00 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 174.780,00 ; -   
2015-01-01 00:00:00.000;2015-12-31 23:59:59.000;2015;2015;Indireta;01;AHM       ;Autarquia Hospitalar Municipal;10;Autarquia Hospitalar Municipal;10;Saúde;122;Administração Geral;3024;Suporte Administrativo;Atividades;Atividades;2100;Administração da Unidade                                                                                                                              ;33903900;Outros Serviços de Terceiros -Pessoa Jurídica;3;Despesas Correntes;3;OUTRAS DESPESAS CORRENTES;90;Aplicações Diretas;39;06;Recursos Próprios da Administração Indireta; 100.000,00 ; 162.000,00 ; 58.921,17 ; 58.921,17 ; -   ; 5.003,00 ; -   ; -   ; 8.000,00 ; 10.003,00 ; -   ; 19.780,00 ; 5.000,00 ; -   ; 4.000,00 ; 21.780,00 ; -   ; 3.261,94 ; 261,94 ; -   ; 4.227,23 ; 5.227,23 ; -   ; 3.500,00 ; 3.000,00 ; -   ; -   ; 2.500,00 ; -   ; 4.649,00 ; 3.649,00 ; -   ; 1.500,00 ; 2.500,00 ; -   ; 2.500,00 ; 2.500,00 ; 62.000,00 ; 2.500,00 ; 2.500,00 
2015-01-01 00:00:00.000;2015-12-31 23:59:59.000;2015;2015;Indireta;01;AHM       ;Autarquia Hospitalar Municipal;10;Autarquia Hospitalar Municipal;10;Saúde;122;Administração Geral;3024;Suporte Administrativo;Atividades;Atividades;2100;Administração da Unidade                                                                                                                              ;33901400;Diárias - Civil;3;Despesas Correntes;3;OUTRAS DESPESAS CORRENTES;90;Aplicações Diretas;14;00;Tesouro Municipal; 100.000,00 ; 33.680,48 ; 18.680,48 ; 18.680,48 ; -   ; -   ; -   ; -   ; 598,67 ; 598,67 ; -   ; 897,99 ; 897,99 ; -   ; -   ; -   ; -   ; 4.900,32 ; 4.900,32 ; -   ; 7.672,80 ; 7.672,80 ; -   ; 1.934,28 ; -   ; -   ; -   ; 1.934,28 ;-50.000,00 ; 13.200,81 ; -   ; -   ;-10.524,39 ; 2.676,42 ; -   ; -   ; -   ;-16.319,52 ; -   ; -   
2015-01-01 00:00:00.000;2015-12-31 23:59:59.000;2015;2015;Indireta;01;AHM       ;Autarquia Hospitalar Municipal;10;Autarquia Hospitalar Municipal;10;Saúde;302;Assistência Hospitalar e Ambulatorial;3003;Ações e serviços da saúde;Atividades;Atividades;4103;Operação e Manutenção das Unidades Hospitalares, Pronto Socorros e Pronto Atendimento                                                                 ;44905200;Equipamentos e Material Permanente;4;Despesas de Capital;4;INVESTIMENTOS;90;Aplicações Diretas;52;02;Transferências Federais; 4.200,00 ; 4.200,00 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
2015-01-01 00:00:00.000;2015-12-31 23:59:59.000;2015;2015;Indireta;01;AHM       ;Autarquia Hospitalar Municipal;10;Autarquia Hospitalar Municipal;10;Saúde;122;Administração Geral;3024;Suporte Administrativo;Atividades;Atividades;2100;Administração da Unidade                                                                                                                              ;33903600;Outros Serviços de Terceiros - Pessoa Física;3;Despesas Correntes;3;OUTRAS DESPESAS CORRENTES;90;Aplicações Diretas;36;00;Tesouro Municipal; 16.200.000,00 ; 15.536.347,22 ; 11.122.535,35 ; 11.026.463,60 ; -   ; 10.541.213,40 ; 757.549,45 ; -   ; -   ; 827.750,30 ; -   ; 34.364,68 ; 820.403,10 ; -   ; -   ; 872.878,63 ;-763.652,78 ; -   ; 876.657,91 ; -   ; -   ; 881.212,56 ; -   ; -   ; 885.775,23 ; -   ; 410.652,38 ; 871.614,39 ; -   ; -   ; 874.583,71 ; -   ; -   ; 874.082,30 ; -   ; 36.304,89 ; 878.910,31 ; 100.000,00 ; 100.000,00 ; 1.605.045,71 
2015-01-01 00:00:00.000;2015-12-31 23:59:59.000;2015;2015;Indireta;01;AHM       ;Autarquia Hospitalar Municipal;10;Autarquia Hospitalar Municipal;10;Saúde;302;Assistência Hospitalar e Ambulatorial;3003;Ações e serviços da saúde;Atividades;Atividades;4103;Operação e Manutenção das Unidades Hospitalares, Pronto Socorros e Pronto Atendimento                                                                 ;33903900;Outros Serviços de Terceiros -Pessoa Jurídica;3;Despesas Correntes;3;OUTRAS DESPESAS CORRENTES;90;Aplicações Diretas;39;02;Transferências Federais; 71.014.484,00 ; 79.924.099,31 ; 77.666.891,05 ; 76.167.210,65 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 277.737,00 ; 3.897,00 ; -   ; 9.386.673,00 ; 8.209.979,94 ; -   ; 52.004.648,02 ; 30.644.167,06 ; -   ; 5.422.760,44 ; 12.607.143,09 ;-1.090.384,69 ;-1.291.431,15 ; 2.666.252,00 ; -   ; 2.298.092,37 ; 6.281.444,28 ; -   ; 790.885,70 ; 4.502.298,74 ; -   ; 958.966,31 ; 1.750.827,71 ; 10.000.000,00 ; 7.818.559,36 ; 9.501.200,83 
2015-01-01 00:00:00.000;2015-12-31 23:59:59.000;2015;2015;Indireta;01;AHM       ;Autarquia Hospitalar Municipal;10;Autarquia Hospitalar Municipal;10;Saúde;302;Assistência Hospitalar e Ambulatorial;3003;Ações e serviços da saúde;Projetos;Projetos;3372;Reforma, Recuperação e Adequação de Hospitais                                                                                                         ;44903900;Outros Serviços de Terceiros - Pessoa Jurídica;4;Despesas de Capital;4;INVESTIMENTOS;90;Aplicações Diretas;39;02;Transferências Federais; 32.349.760,00 ; 32.349.760,00 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
2015-01-01 00:00:00.000;2015-12-31 23:59:59.000;2015;2015;Indireta;01;AHM       ;Autarquia Hospitalar Municipal;10;Autarquia Hospitalar Municipal;10;Saúde;302;Assistência Hospitalar e Ambulatorial;3003;Ações e serviços da saúde;Projetos;Projetos;3379;Reforma, Recuperação e Adequação do Hospital Municipal José Soares Hungria                                                                            ;44903900;Outros Serviços de Terceiros - Pessoa Jurídica;4;Despesas de Capital;4;INVESTIMENTOS;90;Aplicações Diretas;39;00;Tesouro Municipal; 1.819.840,00 ; 1.819.840,00 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
2015-01-01 00:00:00.000;2015-12-31 23:59:59.000;2015;2015;Indireta;01;AHM       ;Autarquia Hospitalar Municipal;10;Autarquia Hospitalar Municipal;10;Saúde;302;Assistência Hospitalar e Ambulatorial;3003;Ações e serviços da saúde;Atividades;Atividades;4103;Operação e Manutenção das Unidades Hospitalares, Pronto Socorros e Pronto Atendimento                                                                 ;33903000;Material de Consumo;3;Despesas Correntes;3;OUTRAS DESPESAS CORRENTES;90;Aplicações Diretas;30;00;Tesouro Municipal; 3.000.000,00 ; 8.610.298,11 ; 8.610.298,11 ; 7.433.417,88 ; -   ; 146.956,99 ; -   ; -   ; 390.853,77 ; -   ; -   ; 753.660,08 ; 34.233,46 ;-11.815,00 ; 110.176,94 ; 281.879,40 ; -   ; 57.647,59 ; 64.432,80 ; -   ; 33.394,30 ; 79.308,06 ; -   ; 126.995,74 ; 838.620,74 ; -   ; 1.092.153,63 ; 269.181,00 ; 3.837.142,59 ; 442.864,58 ; 255.160,32 ; 2.242.713,14 ; 3.242.053,24 ; 2.126.548,77 ; -   ; 2.126.824,69 ; 2.301.936,23 ;-457.742,62 ; 86.716,56 ; 1.182.117,10 
2015-01-01 00:00:00.000;2015-12-31 23:59:59.000;2015;2015;Indireta;01;AHM       ;Autarquia Hospitalar Municipal;10;Autarquia Hospitalar Municipal;10;Saúde;122;Administração Geral;3024;Suporte Administrativo;Atividades;Atividades;2100;Administração da Unidade                                                                                                                              ;33903000;Material de Consumo;3;Despesas Correntes;3;OUTRAS DESPESAS CORRENTES;90;Aplicações Diretas;30;06;Recursos Próprios da Administração Indireta; 20.000,00 ; 8.000,00 ; 6.488,48 ; 6.488,48 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6.488,48 ; -   ; -   ; -   ; 6.488,48 ; -   ; -   ; -   ;-12.000,00 ; -   ; -   
2015-01-01 00:00:00.000;2015-12-31 23:59:59.000;2015;2015;Indireta;01;AHM       ;Autarquia Hospitalar Municipal;10;Autarquia Hospitalar Municipal;10;Saúde;302;Assistência Hospitalar e Ambulatorial;3003;Ações e serviços da saúde;Projetos;Projetos;1391;Aquisição de equipamento de Ressonância Magnética para o Hospital Municipal Dr. Carmino Caricchio - Hospital do Tatuapé.                              ;44905200;Equipamentos e Material Permanente;4;Despesas de Capital;4;INVESTIMENTOS;90;Aplicações Diretas;52;00;Tesouro Municipal; 3.000.000,00 ; 3.000.000,00 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
2015-01-01 00:00:00.000;2015-12-31 23:59:59.000;2015;2015;Indireta;01;AHM       ;Autarquia Hospitalar Municipal;10;Autarquia Hospitalar Municipal;10;Saúde;302;Assistência Hospitalar e Ambulatorial;3003;Ações e serviços da saúde;Projetos;Projetos;1390;Implantação do Centro de Parto Normal no Hospital Alípio Correa Neto                                                                                  ;33903900;Outros Serviços de Terceiros -Pessoa Jurídica;3;Despesas Correntes;3;OUTRAS DESPESAS CORRENTES;90;Aplicações Diretas;39;00;Tesouro Municipal; 300.000,00 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;-300.000,00 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
2015-01-01 00:00:00.000;2015-12-31 23:59:59.000;2015;2015;Indireta;01;AHM       ;Autarquia Hospitalar Municipal;10;Autarquia Hospitalar Municipal;10;Saúde;302;Assistência Hospitalar e Ambulatorial;3003;Ações e serviços da saúde;Atividades;Atividades;4103;Operação e Manutenção das Unidades Hospitalares, Pronto Socorros e Pronto Atendimento                                                                 ;33903300;Passagens e Despesas com Locomoção;3;Despesas Correntes;3;OUTRAS DESPESAS CORRENTES;90;Aplicações Diretas;33;02;Transferências Federais; 8.178,00 ; 8.178,00 ; 5.020,91 ; 5.020,91 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5.020,91 ; 5.020,91 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
2015-01-01 00:00:00.000;2015-12-31 23:59:59.000;2015;2015;Indireta;01;AHM       ;Autarquia Hospitalar Municipal;10;Autarquia Hospitalar Municipal;10;Saúde;302;Assistência Hospitalar e Ambulatorial;3003;Ações e serviços da saúde;Projetos;Projetos;3380;Reforma, Recuperação e Adequação do Hospital Municipal Dr. Arthur Ribeiro de Saboya                                                                   ;44903900;Outros Serviços de Terceiros - Pessoa Jurídica;4;Despesas de Capital;4;INVESTIMENTOS;90;Aplicações Diretas;39;00;Tesouro Municipal; 1.357.760,00 ; 1.357.760,00 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
2015-01-01 00:00:00.000;2015-12-31 23:59:59.000;2015;2015;Indireta;01;AHM       ;Autarquia Hospitalar Municipal;10;Autarquia Hospitalar Municipal;10;Saúde;302;Assistência Hospitalar e Ambulatorial;3003;Ações e serviços da saúde;Atividades;Atividades;4103;Operação e Manutenção das Unidades Hospitalares, Pronto Socorros e Pronto Atendimento                                                                 ;33909200;Despesas de Exercícios Anteriores;3;Despesas Correntes;3;OUTRAS DESPESAS CORRENTES;90;Aplicações Diretas;92;00;Tesouro Municipal; -   ; 21.126.284,61 ; 21.126.222,23 ; 21.126.222,23 ; -   ; -   ; -   ; 17.734.297,96 ; 17.744.560,45 ; 17.437.583,73 ; 2.275.788,00 ; 2.264.780,50 ; 2.264.780,50 ; 345.299,22 ; 345.299,22 ; 345.299,22 ; 763.652,78 ; 763.652,78 ; -   ; 7.246,65 ; 7.246,65 ; 770.899,43 ; -   ; -   ; -   ; -   ;-2.741,37 ; 304.235,35 ; -   ; -   ; -   ; -   ; 3.424,00 ; 3.424,00 ; -   ; -   ; -   ; -   ; -   ; -   
