ATENDIMENTO;UNIDADE;AGRUPAMENTO;IDADE;DATA;STATUS;REFEICAO;CARDAPIO
DIRETA;CCI;3;C - 4 A 5 MESES;01/03/2019;PUBLICADO;J - JANTAR;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;01/03/2019;PUBLICADO;L - LANCHE;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;28/02/2019;PUBLICADO;D - DESJEJUM;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;28/02/2019;PUBLICADO;A - ALMOCO;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;28/02/2019;PUBLICADO;J - JANTAR;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;28/02/2019;PUBLICADO;L - LANCHE;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;27/02/2019;PUBLICADO;D - DESJEJUM;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;27/02/2019;PUBLICADO;A - ALMOCO;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;27/02/2019;PUBLICADO;J - JANTAR;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;27/02/2019;PUBLICADO;L - LANCHE;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;26/02/2019;PUBLICADO;D - DESJEJUM;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;26/02/2019;PUBLICADO;A - ALMOCO;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;26/02/2019;PUBLICADO;J - JANTAR;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;26/02/2019;PUBLICADO;L - LANCHE;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;25/02/2019;PUBLICADO;D - DESJEJUM;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;25/02/2019;PUBLICADO;A - ALMOCO;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;25/02/2019;PUBLICADO;J - JANTAR;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;25/02/2019;PUBLICADO;L - LANCHE;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;08/03/2019;PUBLICADO;A - ALMOCO;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;08/03/2019;PUBLICADO;D - DESJEJUM;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;08/03/2019;PUBLICADO;J - JANTAR;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;08/03/2019;PUBLICADO;L - LANCHE;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;07/03/2019;PUBLICADO;A - ALMOCO;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;07/03/2019;PUBLICADO;D - DESJEJUM;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;07/03/2019;PUBLICADO;J - JANTAR;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;07/03/2019;PUBLICADO;L - LANCHE;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;15/03/2019;PUBLICADO;A - ALMOCO;"LEITE MATERNO OU
FORMULA INFANTIL (1o SEMESTRE)"
DIRETA;CCI;3;C - 4 A 5 MESES;15/03/2019;PUBLICADO;D - DESJEJUM;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;15/03/2019;PUBLICADO;J - JANTAR;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;15/03/2019;PUBLICADO;L - LANCHE;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;14/03/2019;PUBLICADO;A - ALMOCO;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;14/03/2019;PUBLICADO;D - DESJEJUM;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;14/03/2019;PUBLICADO;J - JANTAR;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;14/03/2019;PUBLICADO;L - LANCHE;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;13/03/2019;PUBLICADO;A - ALMOCO;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;13/03/2019;PUBLICADO;D - DESJEJUM;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;13/03/2019;PUBLICADO;J - JANTAR;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;13/03/2019;PUBLICADO;L - LANCHE;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;12/03/2019;PUBLICADO;A - ALMOCO;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;12/03/2019;PUBLICADO;D - DESJEJUM;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;12/03/2019;PUBLICADO;J - JANTAR;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;12/03/2019;PUBLICADO;L - LANCHE;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;11/03/2019;PUBLICADO;A - ALMOCO;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;11/03/2019;PUBLICADO;D - DESJEJUM;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;11/03/2019;PUBLICADO;J - JANTAR;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;11/03/2019;PUBLICADO;L - LANCHE;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;22/03/2019;PUBLICADO;A - ALMOCO;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;22/03/2019;PUBLICADO;D - DESJEJUM;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;22/03/2019;PUBLICADO;J - JANTAR;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;22/03/2019;PUBLICADO;L - LANCHE;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;21/03/2019;PUBLICADO;A - ALMOCO;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;21/03/2019;PUBLICADO;D - DESJEJUM;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;21/03/2019;PUBLICADO;J - JANTAR;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;21/03/2019;PUBLICADO;L - LANCHE;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;20/03/2019;PUBLICADO;A - ALMOCO;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;20/03/2019;PUBLICADO;D - DESJEJUM;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;20/03/2019;PUBLICADO;J - JANTAR;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;20/03/2019;PUBLICADO;L - LANCHE;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;19/03/2019;PUBLICADO;A - ALMOCO;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;19/03/2019;PUBLICADO;D - DESJEJUM;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;19/03/2019;PUBLICADO;J - JANTAR;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;19/03/2019;PUBLICADO;L - LANCHE;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;18/03/2019;PUBLICADO;A - ALMOCO;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;18/03/2019;PUBLICADO;D - DESJEJUM;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;18/03/2019;PUBLICADO;J - JANTAR;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;18/03/2019;PUBLICADO;L - LANCHE;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;29/03/2019;PUBLICADO;A - ALMOCO;LEITE INTEGRAL OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;29/03/2019;PUBLICADO;D - DESJEJUM;LEITE INTEGRAL OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;29/03/2019;PUBLICADO;J - JANTAR;LEITE INTEGRAL OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;29/03/2019;PUBLICADO;L - LANCHE;LEITE INTEGRAL OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;28/03/2019;PUBLICADO;A - ALMOCO;LEITE INTEGRAL OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;28/03/2019;PUBLICADO;D - DESJEJUM;LEITE INTEGRAL OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;28/03/2019;PUBLICADO;J - JANTAR;LEITE INTEGRAL OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;28/03/2019;PUBLICADO;L - LANCHE;LEITE INTEGRAL OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;27/03/2019;PUBLICADO;A - ALMOCO;LEITE INTEGRAL OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;27/03/2019;PUBLICADO;D - DESJEJUM;LEITE INTEGRAL OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;27/03/2019;PUBLICADO;J - JANTAR;LEITE INTEGRAL OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;27/03/2019;PUBLICADO;L - LANCHE;LEITE INTEGRAL OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;26/03/2019;PUBLICADO;A - ALMOCO;LEITE INTEGRAL OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;26/03/2019;PUBLICADO;D - DESJEJUM;LEITE INTEGRAL OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;26/03/2019;PUBLICADO;J - JANTAR;LEITE INTEGRAL OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;26/03/2019;PUBLICADO;L - LANCHE;LEITE INTEGRAL OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;25/03/2019;PUBLICADO;A - ALMOCO;LEITE INTEGRAL OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;25/03/2019;PUBLICADO;D - DESJEJUM;LEITE INTEGRAL OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;25/03/2019;PUBLICADO;J - JANTAR;LEITE INTEGRAL OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;25/03/2019;PUBLICADO;L - LANCHE;LEITE INTEGRAL OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;04/04/2019;PUBLICADO;A - ALMOCO;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;04/04/2019;PUBLICADO;D - DESJEJUM;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;04/04/2019;PUBLICADO;J - JANTAR;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;04/04/2019;PUBLICADO;L - LANCHE;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;03/04/2019;PUBLICADO;A - ALMOCO;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;03/04/2019;PUBLICADO;D - DESJEJUM;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;03/04/2019;PUBLICADO;J - JANTAR;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;03/04/2019;PUBLICADO;L - LANCHE;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;02/04/2019;PUBLICADO;A - ALMOCO;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;02/04/2019;PUBLICADO;D - DESJEJUM;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;02/04/2019;PUBLICADO;J - JANTAR;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;02/04/2019;PUBLICADO;L - LANCHE;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;01/04/2019;PUBLICADO;A - ALMOCO;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;01/04/2019;PUBLICADO;D - DESJEJUM;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;01/04/2019;PUBLICADO;J - JANTAR;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;C - 4 A 5 MESES;01/04/2019;PUBLICADO;L - LANCHE;LEITE MATERNO OU FORMULA INFANTIL (1o SEMESTRE)
DIRETA;CCI;3;D - 6 A 7 MESES;08/02/2019;PUBLICADO;A - ALMOCO;"PAPA PRINCIPAL DE: ARROZ; CARNE BOVINA; BATATA DOCE; ABOBORA; ACELGA, PAPA DE MAMAO"
DIRETA;CCI;3;D - 6 A 7 MESES;08/02/2019;PUBLICADO;D - DESJEJUM;LEITE MATERNO OU FORMULA INFANTIL (2o SEMESTRE)
