Nº Protocolo;Código DRE;DRE;Processo SIMPROC;Código OSC Parceira;OSC Parceira;CNPJ;Código Escola;Unidade Educacional;Vagas Contratadas;Vagas Berçário Contratadas;Total Mensal;Verba Locação;Valor Mensal IPTU;Data Início;Data Término;Situação Parceria;Data Lavratura do Termo;Data Lavratura do Aditamento;Data Solicitação Parceria;Data do Encerramento
10902017;108600;DIRETORIA REGIONAL DE EDUCACAO IPIRANGA;6016.2017/0048959-7;300548;PROMOVE ACAO SOCIO-CULTURAL;69.127.611/0001-00;400718;CEI INDIR - NOVE DE JULHO;105;35.0;59251.5;;;01/01/2018;31/12/2022;Aprovado;29/12/2017;31/01/2018;21/12/2017;
1881;108600;DIRETORIA REGIONAL DE EDUCACAO IPIRANGA;2015-0.094.236-3   ;300630;UNIAO DE NUCLEOS ASS DOS MORADORES DE HELIOPOLIS E REGIAO;38.883.732/0001-40;400663;CEI INDIR - FRANCISCO BATISTA VER;133;50.0;71614.65;;;28/06/2015;27/12/2017;Encerrado;10/06/2015;15/12/2017;15/04/2015;27/12/2017
6242017;108600;DIRETORIA REGIONAL DE EDUCACAO IPIRANGA;6016.2017/0054596-9;800094;ASSOCIACAO CORDEIRINHO;21.946.373/0001-20;308591;CR.P.CONV - CORDEIRINHO III;78;12.0;44047.14;4729.62;471.82;01/11/2017;31/10/2022;Encerrado;01/11/2017;07/01/2019;01/12/2017;31/12/2018
2164;108600;DIRETORIA REGIONAL DE EDUCACAO IPIRANGA;2015-0.181.356-7   ;300630;UNIAO DE NUCLEOS ASS DOS MORADORES DE HELIOPOLIS E REGIAO;38.883.732/0001-40;;ANTONIO SALES DO NASCIMENTO;178;91.0;101636.58;19124.76;;;;Encerrado;;09/10/2015;13/08/2015;23/09/2015
9682017;108600;DIRETORIA REGIONAL DE EDUCACAO IPIRANGA;6016.2017/0049787-5;300921;CENTRO EDUCACIONAL DE DESENVOLV JUVENIL E INFANTIL CEDEJI;13.222.705/0001-03;308348;CR.P.CONV - SEMENTINHA;197;101.0;112554.33;11151.52;1305.53;01/01/2018;31/12/2022;Aprovado;19/12/2017;07/02/2019;19/12/2017;
17;108600;DIRETORIA REGIONAL DE EDUCACAO IPIRANGA;2011-0.316.039-3   ;300428;CRUZADA PRO INFANCIA;60.915.790/0001-67;400626;CEI INDIR - ACONCHEGO;218;91.0;119558.58;;;01/08/2014;31/01/2017;Encerrado;01/02/2012;08/02/2017;25/03/2014;31/01/2017
20170007;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;2017-0.015.323-0   ;300736;ASS SAO SABAS DE FILANTROPIA;55.050.546/0001-49;306938;CR.P.CONV - MARIA FONSECA LAGO, DONA;187;48.0;95328.39;20384.3;;03/02/2017;02/08/2019;Encerrado;02/02/2017;04/01/2018;02/02/2017;31/12/2017
138;108400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2013-0.063.424-0   ;300545;MOVIMENTO SOCIAL BENEFICENTE MOSOBE;04.280.254/0001-61;306665;CR.P.CONV - VIRAJUBA, CEI;89;;;3428.49;;27/05/2013;26/11/2015;Encerrado;27/05/2013;29/07/2015;03/06/2014;20/07/2015
4982017;108400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;6016.2017/0050063-9;800382;ACV - ASSOCIACAO CAMPOS VERDEJANTES;03.957.565/0001-50;308889;CR.P.CONV - ESTRELA DA MANHA;109;48.0;64314.3;3796.0;197.29;27/11/2017;26/11/2022;Aprovado;27/11/2017;14/03/2019;21/11/2017;
8792017;108600;DIRETORIA REGIONAL DE EDUCACAO IPIRANGA;6016.2017/0048937-6;800225;APOIO ASSOCIACAO DE AUXILIO MUTUO DA REGIAO LESTE;74.087.081/0001-45;306728;CR.P.CONV - LUZ DO AMANHA;99;27.0;54422.82;4500.0;734.53;01/01/2018;31/12/2022;Aprovado;19/12/2017;11/02/2019;15/12/2017;
211;108400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2012-0.282.491-5   ;300602;UNIAO DOS MORADORES DA VILA PALMEIRAS E ADJACENCIAS;01.922.666/0001-60;307892;CR.P.CONV - CURUMIM;121;45.0;65035.65;6335.02;;29/05/2015;28/11/2017;Encerrado;29/11/2012;30/11/2017;29/05/2014;28/11/2017
472;108900;DIRETORIA REGIONAL DE EDUCACAO PENHA;2012-0.313.461-0   ;300729;CENTRO SOCIAL COMUNITARIO PADRE JOSE;51.739.977/0001-66;306354;CR.P.CONV - JOSE, PE;60;;;;;01/07/2015;31/12/2017;Encerrado;28/12/2012;08/02/2018;30/07/2014;31/12/2017
5872018;108700;DIRETORIA REGIONAL DE EDUCACAO ITAQUERA;6016.2018/0016220-4;800432;NUCLEO DE MAES DO JARDIM ETELVINA;64.617.467/0001-68;309058;CR.P.CONV - CIRANDA INFANTIL;110;50.0;65279.4;2814.0;44.99;05/04/2018;04/04/2023;Aprovado;05/04/2018;28/02/2019;27/03/2018;
4818;108500;DIRETORIA REGIONAL DE EDUCACAO GUAIANASES;2016-0.168.724-5   ;800013;ASSOCIACAO SANTA EDWIGES;09.201.979/0001-30;307343;CR.P.CONV - SELMO MARTINS DOS SANTOS;196;76.0;106094.28;11558.21;;10/11/2016;09/05/2019;Encerrado;07/11/2016;27/12/2017;07/11/2016;31/12/2017
305;109200;DIRETORIA REGIONAL DE EDUCACAO SAO MATEUS;2013-0.050.059-6   ;300013;ACAO COMUNIT. PAROQUIAL DO JD. COLONIAL PE. EMIR RIGON;52.801.883/0001-32;400772;CEI INDIR - CONJUNTO HABITACIONAL TEOTONIO VILELA I;221;74.0;116814.57;;;09/12/2013;08/06/2016;Encerrado;09/12/2013;17/11/2015;09/06/2014;17/11/2015
3092018;108500;DIRETORIA REGIONAL DE EDUCACAO GUAIANASES;6016.2017/0048207-0;300882;ASS E DESENVOLV CULTURAL PROJETO PHENIX;12.230.997/0001-55;308483;CR.P.CONV - DULCE MAYRA;206;59.0;106486.62;6920.0;;01/01/2018;31/12/2022;Aprovado;18/01/2018;31/01/2019;18/01/2018;
293;108900;DIRETORIA REGIONAL DE EDUCACAO PENHA;2012-0.204.915-6   ;300366;CENTRO SOCIAL BENEFICENTE DE RECUPERACAO EL SHADAI;02.986.801/0001-01;308194;CR.P.CONV - TIQUINHO DE ALEGRIA;73;30.0;45737.23;3700.9;436.79;13/05/2017;12/11/2019;Encerrado;13/11/2014;05/02/2018;05/01/2015;31/12/2017
447;109100;DIRETORIA REGIONAL DE EDUCACAO SANTO AMARO;2012-0.301.684-7   ;300308;CENTRO DE PROMOCAO HUMANA NOSSA SENHORA AP DO JD PEDREIRA;96.534.979/0001-57;306391;CR.P.CONV - MEU ABACATEIRO;113;30.0;61922.22;;;01/07/2015;31/12/2017;Encerrado;28/12/2012;15/01/2018;01/08/2014;31/12/2017
3672018;109300;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;6016.2017/0051036-7;300099;ASS COMUNITARIA FLORESTAN FERNANDES;05.504.760/0001-50;400812;CEI INDIR - ANTONIO JOAO DE MEDEIROS;160;68.0;88040.64;;;01/01/2018;31/12/2022;Aprovado;31/01/2018;07/02/2019;20/01/2018;
0189/SME/2014;109300;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;2014-0.165.874-8   ;300397;FUNDACAO COMUNIDADE DA GRACA;01.501.866/0001-49;400648;CEI INDIR - ESPACO DA COMUNIDADE II;160;46.0;82750.08;;;01/02/2017;31/07/2019;Encerrado;01/08/2014;16/02/2018;17/09/2014;16/02/2018
319;108900;DIRETORIA REGIONAL DE EDUCACAO PENHA;2009-0.193.961-3   ;300694;CENTRO DE TREINAMENTO DAS VIDAS - CT VIDAS;07.318.742/0001-09;400616;CEI INDIR - SALESIANA DOMINGOS SAVIO;192;82.0;105744.96;;;01/01/2015;30/06/2017;Encerrado;30/12/2009;26/06/2017;05/08/2014;26/06/2017
10232017;109100;DIRETORIA REGIONAL DE EDUCACAO SANTO AMARO;6016.2017/0044461-5;300270;ASS OBRA DO BERCO;62.440.045/0001-34;400402;CEI INDIR - MARIA ESTEFANO MALUF;159;71.0;88314.03;;;01/01/2018;31/12/2022;Aprovado;03/01/2018;16/01/2018;20/12/2017;
12022017;109300;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;6016.2017/0051330-7;300601;UNIAO DOS MORADORES DOS JARDINS NELIAS I II III E ADJACENCIA;60.375.888/0001-79;400619;CEI INDIR - ESPACO VIDA CRIATIVA II;160;64.0;87078.72;;;01/01/2018;31/12/2022;Aprovado;02/01/2018;08/01/2018;27/12/2017;
6642018;109200;DIRETORIA REGIONAL DE EDUCACAO SAO MATEUS;6016.2018/0036263-7;300611;ASS MAE MARA;04.141.895/0001-35;309155;CR.P.CONV - MARIA FLOR;98;18.0;51774.36;4352.45;331.76;20/07/2018;19/07/2023;Aprovado;20/07/2018;29/01/2019;22/06/2018;
273;108500;DIRETORIA REGIONAL DE EDUCACAO GUAIANASES;2010-0.171.495-0   ;300229;ASS EDUCA SAO PAULO;03.954.032/0001-14;306726;CR.P.CONV - EDUCA SAO PAULO;313;91.0;162123.33;9326.79;;29/01/2013;29/01/2015;Encerrado;30/07/2010;09/04/2015;13/08/2014;
72019;108200;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;6016.2019/0003700-2;301074;INSTITUTO GARRA;17.344.713/0001-75;;NOSSA SENHORA APARECIDA;70;;;3046.89;;01/02/2019;31/01/2024;Em análise;01/02/2019;06/02/2019;04/02/2019;
2683;108200;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;2015-0.311.347-3   ;800204;ASSOCIACAO BENEFICENTE BOA ESPERANCA;59.276.147/0001-51;308654;CR.P.CONV - BOA ESPERANCA III;240;;;17500.0;;22/06/2016;21/12/2018;Encerrado;22/06/2016;17/01/2018;20/05/2016;31/12/2017
4861;108500;DIRETORIA REGIONAL DE EDUCACAO GUAIANASES;2016-0.168.698-2   ;300041;ASS BENEFICENTE COMUNITARIA ANJOS DA ESPERANCA;02.615.386/0001-71;307094;CR.P.CONV - ANJOS DA ESPERANCA;70;25.0;42951.7;3640.8;;26/12/2016;25/06/2019;Encerrado;14/12/2016;22/01/2018;14/12/2016;31/12/2017
2463;109300;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;2015-0.275.521-8   ;300160;ASS DE LUTAS E PROMOCAO SOCIAL JARDIM ROBRU;04.676.010/0001-00;307089;CR.P.CONV - SER FELIZ III;140;45.0;73548.6;7500.0;;16/11/2015;15/05/2018;Encerrado;18/11/2015;28/02/2018;18/11/2015;28/02/2018
118;109000;DIRETORIA REGIONAL DE EDUCACAO PIRITUBA/JARAGUA;2012-0.096.562-7   ;300827;INSTITUTO REMANSO;65.706.194/0001-90;307797;CR.P.CONV - PEQUENO POLEGAR II;113;46.0;65769.9;8000.0;270.8;21/12/2014;20/06/2017;Encerrado;21/06/2012;21/06/2017;09/08/2014;20/06/2017
7982018;109000;DIRETORIA REGIONAL DE EDUCACAO PIRITUBA/JARAGUA;6016.2018/0061119-0;800030;INSTITUTO OLIVEIRA E SCHURT;10.634.676/0001-90;309275;CR.P.CONV - JARDIM DOS PEQUENINOS;64;64.0;49164.16;10762.28;1325.82;28/11/2018;27/11/2023;Aprovado;28/11/2018;28/11/2018;27/11/2018;
1562018;108200;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;6016.2017/0044267-1;800211;ASSOCIACAO CRISTA DE CASAIS;47.095.294/0001-46;308638;CR.P.CONV - VILA ACALANTO;147;34.0;74039.67;;;07/03/2018;31/12/2022;Encerrado;07/03/2018;28/01/2019;12/01/2018;31/12/2018
2729;108600;DIRETORIA REGIONAL DE EDUCACAO IPIRANGA;2016-0.097.944-7   ;800197;ASSOCIACAO CULTURAL GIRASSOL DE LUZ;09.575.019/0001-30;;KATATAU;88;31.0;53893.36;9000.0;;;;Encerrado;;12/09/2016;01/07/2016;12/09/2016
464;108500;DIRETORIA REGIONAL DE EDUCACAO GUAIANASES;2014-0.142.241-8   ;300166;ASSOCIACAO BENEFICENTE AMAC;08.731.731/0001-19;307156;CR.P.CONV - VILA FELIZ;70;25.0;42951.7;4376.01;;19/02/2017;18/08/2019;Encerrado;19/08/2014;11/01/2018;20/02/2015;31/12/2017
3052017;108300;DIRETORIA REGIONAL DE EDUCACAO CAPELA DO SOCORRO;6016.2017/0046236-2;300025;ACAO SOCIAL LARGO 13;43.987.809/0001-61;400634;CEI INDIR - ACAO SOCIAL LARGO 13 - ALMEIDA PRADO;154;50.0;81023.7;;;01/01/2018;31/12/2022;Aprovado;26/12/2017;07/03/2018;27/10/2017;
8332017;108400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;6016.2017/0055706-1;300565;SOCIEDADE BENEFICENTE SAO CAMILO;60.975.737/0001-51;400333;CEI INDIR - INACIO DE LIMA OLIVEIRA;183;87.0;102914.91;;;01/01/2018;31/12/2022;Aprovado;28/12/2017;28/12/2017;14/12/2017;
328;108900;DIRETORIA REGIONAL DE EDUCACAO PENHA;2013-0.035.565-0   ;300711;NUCLEO DE APOIO E DESENVOLVIMENTO HUMANO - NADHU;67.132.746/0001-20;400314;CEI INDIR - SHIRO KYONO VER;123;41.0;64969.83;;;24/07/2015;23/01/2018;Encerrado;24/04/2013;06/02/2018;20/01/2015;31/12/2017
445;108500;DIRETORIA REGIONAL DE EDUCACAO GUAIANASES;2011-0.348.828-3   ;300816;ASS EDUCACIONAL SOPHIA MARCHETTI;14.133.398/0001-49;400666;CEI INDIR - NOSSA SENHORA DO DIVINO PRANTO;163;27.0;79525.11;;;10/10/2014;09/04/2017;Encerrado;10/04/2012;23/02/2016;19/02/2015;02/02/2016
2052018;108200;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;6016.2017/0043683-3;300252;CARITAS DIOCESANA DE CAMPO LIMPO;64.033.061/0001-38;306259;CR.P.CONV - SAO SEBASTIAO;129;18.0;62127.09;;;01/01/2018;31/12/2022;Aprovado;29/12/2017;01/02/2018;15/01/2018;
4422018;109300;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;6016.2017/0051295-5;300336;CLUBE DE MAES CRIANCA ESPERANCA;00.229.779/0001-11;306524;CR.P.CONV - CRIANCA ESPERANCA;67;22.0;40647.13;;;01/01/2018;31/12/2022;Aprovado;31/01/2018;22/02/2018;30/01/2018;
4982018;109300;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;6016.2017/0051313-7;301023;INSTITUTO EDUCACIONAL AMOR ETERNO;11.757.726/0001-90;308365;CR.P.CONV - EDUCARTE;143;57.0;77778.51;5850.0;133.41;01/01/2018;31/12/2022;Aprovado;31/01/2018;05/02/2019;06/02/2018;
365;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.128-2   ;300582;SOCIEDADE BENEFICENTE SAO LUIZ GONZAGA;69.273.605/0001-52;400416;CEI INDIR - SAO LUIS GONZAGA;223;71.0;116989.23;;;01/07/2015;31/12/2017;Encerrado;28/12/2012;21/02/2018;20/03/2014;31/12/2017
3542017;109200;DIRETORIA REGIONAL DE EDUCACAO SAO MATEUS;6016.2017/0048820-5;300786;ASS BENEFICENTE COMUNITARIA MATEUS CIDADE TIRADENTES;05.445.783/0001-30;308886;CR.P.CONV - CASA DE MARIA II;70;24.0;42711.22;4643.07;232.93;24/11/2017;23/11/2022;Aprovado;24/11/2017;10/09/2018;09/11/2017;
13012017;108900;DIRETORIA REGIONAL DE EDUCACAO PENHA;6016.2017/0057023-8;300932;NUCLEO SOCIAL E EDUCACIONAL EDUCANDO;10.172.754/0001-82;308044;CR.P.CONV - CAVALGANDO O ARCO IRIS;188;78.0;102990.84;13381.7;2562.85;01/01/2018;31/12/2022;Aprovado;29/12/2017;03/09/2018;28/12/2017;
6012017;108600;DIRETORIA REGIONAL DE EDUCACAO IPIRANGA;6016.2017/0049866-9;300921;CENTRO EDUCACIONAL DE DESENVOLV JUVENIL E INFANTIL CEDEJI;13.222.705/0001-03;306946;CR.P.CONV - ABRACAR;122;50.0;66686.1;9675.0;1255.93;29/11/2017;28/11/2022;Aprovado;28/11/2017;25/10/2018;30/11/2017;
315;108400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;2014-0.192.167-8   ;300455;INSTITUTO BEVENUTTO;07.728.908/0001-65;308119;CR.P.CONV - MAURA DUARTE NUVENS;141;61.0;77844.33;14000.0;;08/02/2017;07/08/2019;Encerrado;08/08/2014;29/12/2017;15/01/2015;31/12/2017
8782017;108200;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;6016.2017/0044196-9;300923;CLUBE DAS MAES DO JARDIM TURQUESA;06.303.115/0001-31;308534;CR.P.CONV - PEQUENAS TURQUESAS;96;;;;;;;Encerrado;;05/02/2018;15/12/2017;05/02/2018
214628;109000;DIRETORIA REGIONAL DE EDUCACAO PIRITUBA/JARAGUA;2015-0.178.446-0   ;800075;INSTITUTO ESTRELA GUIA;05.530.672/0001-22;308407;CR.P.CONV - BORBOLETAS DO AMANHA;140;;;9000.0;289.7;20/08/2015;19/02/2018;Encerrado;20/08/2015;15/02/2018;10/08/2015;31/12/2017
6642017;108400;DIRETORIA REGIONAL DE EDUCACAO FREGUESIA/BRASILANDIA;6016.2017/0053765-6;300916;SERVICO ASSISTENCIAL LAR ESTRELA GUIA;08.307.663/0001-65;;ANA NERY;162;91.0;94467.78;4000.0;;;;Encerrado;;04/12/2017;04/12/2017;04/12/2017
962018;108500;DIRETORIA REGIONAL DE EDUCACAO GUAIANASES;6016.2017/0048144-8;300166;ASSOCIACAO BENEFICENTE AMAC;08.731.731/0001-19;307003;CR.P.CONV - AMAC II;78;29.0;48135.3;3342.11;;01/01/2018;31/12/2022;Aprovado;11/01/2018;11/09/2018;11/01/2018;
212221;109300;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;2015-0.178.607-1   ;800044;ASSOCIACAO E CENTRO DE APOIO SOCIAL DE EDUCACAO BRINCAR PARA;02.406.323/0001-05;308345;CR.P.CONV - CRIANCA NOSSO BEM MAIOR;173;63.0;92662.89;6155.0;;05/08/2015;04/02/2018;Encerrado;05/08/2015;22/11/2016;05/08/2015;11/11/2016
2636;109100;DIRETORIA REGIONAL DE EDUCACAO SANTO AMARO;2016-0.049.792-2   ;300671;ASS DEHONIANA BRASIL MERIDIONAL;04.730.949/0001-06;;GREGORIO WESTRUPP;194;57.0;100629.06;;;10/03/2016;09/09/2018;Encerrado;10/03/2016;08/04/2016;08/04/2016;08/04/2016
6542017;108800;DIRETORIA REGIONAL DE EDUCACAO JACANA/TREMEMBE;6016.2017/0052976-9;300341;CENTRO COMUNITARIO SANTA INES - CECOSI;51.601.748/0001-80;306444;CR.P.CONV - JOAO PAULO II;106;9.0;53483.16;;;01/01/2018;31/12/2022;Aprovado;29/12/2017;18/12/2018;04/12/2017;
122018;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0054257-9;800093;ASSOCIACAO PAIS E FILHOS;11.694.582/0001-70;308980;CR.P.CONV - REFERENCIA;80;32.0;49912.16;6000.0;68.21;23/12/2017;22/12/2022;Aprovado;23/12/2017;21/01/2019;15/12/2017;
5452018;109200;DIRETORIA REGIONAL DE EDUCACAO SAO MATEUS;6016.2018/0013150-3;800170;ASSOCIACAO BENEFICENTE CONSTRUIR;01.237.904/0001-06;;CEI PINGUINHO II;74;31.0;46505.42;;;;;Encerrado;;14/03/2018;13/03/2018;14/03/2018
2032018;108200;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;6016.2017/0046781-0;300252;CARITAS DIOCESANA DE CAMPO LIMPO;64.033.061/0001-38;307721;CR.P.CONV - SAO JOSE OPERARIO II, CEI;81;;;;;01/01/2018;31/12/2022;Aprovado;29/12/2017;01/02/2018;15/01/2018;
0185/SME/2009;109300;DIRETORIA REGIONAL DE EDUCACAO SAO MIGUEL;2009-0.168.814-9   ;300397;FUNDACAO COMUNIDADE DA GRACA;01.501.866/0001-49;400648;CEI INDIR - ESPACO DA COMUNIDADE II;170;50.0;88192.5;;;01/02/2012;31/07/2014;Encerrado;31/07/2009;12/01/2015;24/07/2014;
4817;108500;DIRETORIA REGIONAL DE EDUCACAO GUAIANASES;2016-0.168.726-1   ;300751;INSTITUTO EDUCACIONAL PAIS E FILHOS;08.351.152/0001-40;306862;CR.P.CONV - GOLFINHO AZUL;90;41.0;57353.58;4177.25;;10/11/2016;09/05/2019;Encerrado;07/11/2016;11/01/2018;07/11/2016;31/12/2017
772017;108200;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;6016.2017/0046732-1;800051;INSTITUTO BENEFICENTE CASTILHO;02.020.689/0001-41;308825;CR.P.CONV - CASTILHO III;304;139.0;169633.92;13000.0;;21/08/2017;20/08/2022;Aprovado;21/08/2017;08/02/2019;10/08/2017;
520;109200;DIRETORIA REGIONAL DE EDUCACAO SAO MATEUS;2012-0.321.179-8   ;300320;CENTRO SOCIAL NOSSA SENHORA DO BOM PARTO;62.264.494/0001-79;306437;CR.P.CONV - TABOR;415;104.0;210950.67;;;01/01/2013;31/12/2017;Encerrado;28/12/2012;07/02/2018;24/06/2014;31/12/2017
13622017;109100;DIRETORIA REGIONAL DE EDUCACAO SANTO AMARO;6016.2017/0045838-1;300516;MAMAE ASS ASSISTENCIA A CRIANCA SANTAMARENSE;62.915.459/0001-72;400372;CEI INDIR - MUNIR ABBUD;162;64.0;87974.82;;;01/01/2018;31/12/2022;Aprovado;29/12/2017;24/01/2018;28/12/2017;
1972017;108900;DIRETORIA REGIONAL DE EDUCACAO PENHA;6016.2017/0042279-4;300481;GSS GRUPO SEMPRE SERVINDO;52.808.144/0001-72;307251;CR.P.CONV - CAMINHANDO PARA O FUTURO;109;36.0;61428.54;3563.04;966.62;22/10/2017;21/10/2022;Aprovado;20/10/2017;03/09/2018;03/10/2017;
