Nº Protocolo;Código DRE;DRE;Processo SIMPROC;Código OSC Parceira;OSC Parceira;CNPJ;Código Escola;Unidade Educacional;Vagas Contratadas;Vagas Berçário Contratadas;Total Mensal;Verba Locação;Valor Mensal IPTU;Data Início;Data Término;Situação Parceria;Data Lavratura do Termo;Data Lavratura do Aditamento;Data Solicitação Parceria;Data do Encerramento
53;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.281.971-7;300.517;MOSTEIRO SAO GERALDO DE SAO PAULO;61.697.678/0001-60;400.460;CEI INDIR - ISABEL RIBEIRO;85;17;54.106,56;;;01/07/2015;30/12/2017;Encerrado;21/12/2012;21/12/2012;24/03/2014;30/12/2017
22017;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2017-0.066.582-7;300.565;SOCIEDADE BENEFICENTE SAO CAMILO;60.975.737/0001-51;400.639;CEI INDIR - JARDIM ARPOADOR;174;54;103.836,66;;;03/06/2017;02/12/2019;Aprovado;02/06/2017;;05/06/2017;
1530;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.125.929-7;300.565;SOCIEDADE BENEFICENTE SAO CAMILO;60.975.737/0001-51;400.639;CEI INDIR - JARDIM ARPOADOR;174;54;100.910,94;;;03/12/2014;02/06/2017;Encerrado;01/06/2012;19/12/2013;30/12/2014;02/06/2017
6262017;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0048747-0;300.464;LIGA DAS SENHORAS CATOLICAS DE SAO PAULO;60.597.044/0001-72;400.783;CEI INDIR - JARDIM EDITE;166;66;103.112,54;;;01/01/2018;31/12/2022;Aprovado;01/01/2018;;01/12/2017;
51;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.354.449-5;300.464;LIGA DAS SENHORAS CATOLICAS DE SAO PAULO;60.597.044/0001-72;400.783;CEI INDIR - JARDIM EDITE;166;66;103.112,54;;;26/07/2015;25/01/2018;Encerrado;17/05/2013;05/01/2016;24/03/2014;31/12/2017
7702017;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0050006-0;300.416;INSTITUICAO BENEFICENTE PERSIO GUIMARAES AZEVEDO;62.440.094/0001-77;400.633;CEI INDIR - JARDIM JAQUELINE;161;63;100.277,83;;;01/01/2018;31/12/2022;Aprovado;19/12/2017;19/12/2017;08/12/2017;
4865;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2016-0.248.103-9;300.416;INSTITUICAO BENEFICENTE PERSIO GUIMARAES AZEVEDO;62.440.094/0001-77;400.633;CEI INDIR - JARDIM JAQUELINE;161;63;91.937,39;;;01/01/2017;30/06/2019;Encerrado;09/12/2016;09/12/2016;15/12/2016;01/01/2018
58;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2011-0.352.525-1;300.416;INSTITUICAO BENEFICENTE PERSIO GUIMARAES AZEVEDO;62.440.094/0001-77;400.633;CEI INDIR - JARDIM JAQUELINE;161;63;91.937,39;;;01/08/2014;31/12/2016;Encerrado;01/02/2012;28/07/2014;24/03/2014;31/12/2016
7112017;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0050066-3;300.508;OBRA ASSISTENCIAL JESUS MENINO;01.309.378/0001-34;400.413;CEI INDIR - JOAO XXIII, PAPA;112;36;72.764,56;;;01/01/2018;31/12/2022;Aprovado;01/01/2018;;06/12/2017;
2502;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.283.233-6;300.508;OBRA ASSISTENCIAL JESUS MENINO;01.309.378/0001-34;400.413;CEI INDIR - JOAO XXIII, PAPA;123;27;66.769,80;;;08/12/2015;07/06/2018;Encerrado;08/12/2015;13/01/2016;08/12/2015;31/12/2017
36;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2011-0.210.672-7;300.508;OBRA ASSISTENCIAL JESUS MENINO;01.309.378/0001-34;400.413;CEI INDIR - JOAO XXIII, PAPA;99;99;74.267,79;;;01/03/2014;31/08/2016;Encerrado;11/09/2012;29/01/2015;20/03/2014;08/12/2015
11082017;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0050010-8;800.023;LAR DO ALVORECER CRISTÃO;51.221.760/0001-60;400.408;CEI INDIR - LAR DO ALVORECER CRISTAO;133;49;85.038,69;;;01/01/2018;31/12/2022;Aprovado;01/01/2018;;21/12/2017;
9992017;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0050010-8;300.453;LAR DO ALVORECER CRISTAO;51.221.760/0002-40;400.408;CEI INDIR - LAR DO ALVORECER CRISTAO;133;49;0;;;;;Encerrado;;;19/12/2017;19/12/2017
9972017;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0050010-8;300.453;LAR DO ALVORECER CRISTAO;51.221.760/0002-40;400.408;CEI INDIR - LAR DO ALVORECER CRISTAO;133;49;0;;;;;Encerrado;;;19/12/2017;31/12/2017
1529;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.012-0;800.023;LAR DO ALVORECER CRISTÃO;51.221.760/0001-60;400.408;CEI INDIR - LAR DO ALVORECER CRISTAO;136;49;83.898,70;;;01/07/2015;31/12/2017;Encerrado;26/12/2012;26/12/2012;30/12/2014;31/12/2017
8252017;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0050001-9;300.376;CONJUNTO ASSISTENCIAL NOSSA SENHORA DA CONCEICAO APARECIDA;62.481.064/0001-09;400.306;CEI INDIR - MAE DO SALVADOR;176;66;107.420,74;;;01/01/2018;31/12/2022;Aprovado;01/01/2018;;13/12/2017;
46;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.031-6;300.376;CONJUNTO ASSISTENCIAL NOSSA SENHORA DA CONCEICAO APARECIDA;62.481.064/0001-09;400.306;CEI INDIR - MAE DO SALVADOR;176;66;104.394,06;;;01/07/2015;31/12/2017;Encerrado;21/12/2012;21/12/2012;20/03/2014;31/12/2017
882017;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2017-0.112.296-7;300.428;CRUZADA PRO INFANCIA;60.915.790/0001-67;400.307;CEI INDIR - MARIA DE LOURDES FERRARINI;107;40;71.344,44;;;18/08/2017;17/08/2022;Aprovado;18/08/2017;;18/08/2017;
57;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.157.995-0;300.428;CRUZADA PRO INFANCIA;60.915.790/0001-67;400.307;CEI INDIR - MARIA DE LOURDES FERRARINI;107;40;69.334,17;;;19/02/2015;18/08/2017;Encerrado;17/08/2012;29/09/2016;24/03/2014;18/08/2017
892017;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2017-0.112.299-1;300.428;CRUZADA PRO INFANCIA;60.915.790/0001-67;306.562;CEI INDIR - MARIA TEREZA DE MACEDO COSTA;207;71;121.910,51;;;18/08/2017;17/08/2022;Aprovado;18/08/2017;;18/08/2017;
55;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.158.368-8;300.428;CRUZADA PRO INFANCIA;60.915.790/0001-67;306.562;CEI INDIR - MARIA TEREZA DE MACEDO COSTA;207;71;118.475,54;;;19/02/2015;18/08/2017;Encerrado;17/08/2012;28/10/2016;24/03/2014;18/08/2017
9052017;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0050098-1;800.036;ASSOCIAÇÃO NOITE ENCANTADA;00.209.352/0001-51;400.412;CEI INDIR - NOITE ENCANTADA VII;74;14;49.413,26;;;01/01/2018;31/12/2022;Aprovado;01/01/2018;;18/12/2017;
3748;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2016-0.157.952-3;800.036;ASSOCIAÇÃO NOITE ENCANTADA;00.209.352/0001-51;400.412;CEI INDIR - NOITE ENCANTADA VII;69;14;42.977,09;;;18/07/2016;17/01/2019;Encerrado;18/07/2016;18/07/2016;19/07/2016;31/12/2017
9342017;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0046995-2;300.326;CENTRO SOCIAL SANTO DIAS;58.409.871/0001-43;400.332;CEI INDIR - NOSSA SENHORA ASSUNCAO;70;18;48.291,06;;;01/01/2018;31/12/2022;Aprovado;01/01/2018;;18/12/2017;
2478;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.272.310-3;300.326;CENTRO SOCIAL SANTO DIAS;58.409.871/0001-43;400.332;CEI INDIR - NOSSA SENHORA ASSUNCAO;70;22;43.372,00;;;23/11/2015;22/05/2018;Encerrado;23/11/2015;23/11/2015;23/11/2015;31/12/2017
29;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2011-0.112.396-2;300.326;CENTRO SOCIAL SANTO DIAS;58.409.871/0001-43;400.332;CEI INDIR - NOSSA SENHORA ASSUNCAO;70;;38.972,00;;;01/01/2014;30/06/2016;Encerrado;18/12/2013;19/12/2014;20/03/2014;23/11/2015
52;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.046-4;300.038;ASS BENEFICENTE CAMINHO DE DAMASCO;01.902.672/0001-55;400.412;CEI INDIR - NOVA ERA, MODULO I;69;27;48.421,44;;;01/07/2015;31/12/2017;Encerrado;27/12/2012;30/06/2015;24/03/2014;05/07/2016
27;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.053-7;300.038;ASS BENEFICENTE CAMINHO DE DAMASCO;01.902.672/0001-55;306.206;CEI INDIR - NOVA ERA, MODULO II;69;27;48.421,44;;;01/07/2015;31/12/2017;Encerrado;27/12/2012;30/06/2015;20/03/2014;05/07/2016
6002017;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0043133-5;300.113;ASS CRIANCA BRASIL;58.373.234/0001-64;400.415;CEI INDIR - RECANTO DA ALEGRIA III;138;45;86.285,31;;;01/01/2018;31/12/2022;Aprovado;01/01/2018;;30/11/2017;
34;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.105-3;300.113;ASS CRIANCA BRASIL;58.373.234/0001-64;400.415;CEI INDIR - RECANTO DA ALEGRIA III;136;45;83.016,78;;;01/07/2015;31/12/2017;Encerrado;28/12/2012;21/10/2016;20/03/2014;31/12/2017
7862017;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0046990-1;300.113;ASS CRIANCA BRASIL;58.373.234/0001-64;306.206;CEI INDIR - RECANTO DA ALEGRIA V;79;32;56.034,02;;;01/01/2018;31/12/2022;Aprovado;01/01/2018;;11/12/2017;
3750;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2016-0.157.952-3;300.113;ASS CRIANCA BRASIL;58.373.234/0001-64;306.206;CEI INDIR - RECANTO DA ALEGRIA V;79;32;54.455,04;;;18/07/2016;17/01/2019;Encerrado;18/07/2016;28/12/2017;20/07/2016;31/12/2017
11182017;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0050106-6;300.806;INSTITUTO LAETARE DE EDUCACAO, CULTURA E CIDADANIA;09.636.869/0001-00;400.665;CEI INDIR - SANTA ROSA III;67;18;46.768,80;;;01/01/2018;31/12/2022;Aprovado;01/01/2018;;21/12/2017;
3747;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2016-0.156.672-3;300.806;INSTITUTO LAETARE DE EDUCACAO, CULTURA E CIDADANIA;09.636.869/0001-00;400.665;CEI INDIR - SANTA ROSA III;67;18;42.878,67;;;18/07/2016;17/01/2019;Encerrado;18/07/2016;18/07/2016;19/07/2016;31/12/2017
9172017;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0043124-6;300.549;PROVINCIA CARMELITANA DE SANTO ELIAS;33.621.319/0008-60;400.370;CEI INDIR - SANTA TEREZA DE JESUS;101;18;63.560,18;;;01/01/2018;31/12/2022;Aprovado;01/01/2018;;18/12/2017;
32;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2013-0.066.265-0;300.549;PROVINCIA CARMELITANA DE SANTO ELIAS;33.621.319/0008-60;400.370;CEI INDIR - SANTA TEREZA DE JESUS;101;18;63.560,18;;;26/07/2015;25/01/2018;Encerrado;03/04/2013;03/04/2013;20/03/2014;31/12/2017
10832017;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0050049-3;300.252;CARITAS DIOCESANA DE CAMPO LIMPO;64.033.061/0001-38;400.808;CEI INDIR - SAO BENEDITO;166;56;100.843,84;;;01/01/2018;31/12/2022;Aprovado;01/01/2018;;21/12/2017;
2051;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.176.763-8;300.252;CARITAS DIOCESANA DE CAMPO LIMPO;64.033.061/0001-38;400.808;CEI INDIR - SAO BENEDITO;153;80;100.688,06;;;25/07/2015;24/01/2018;Encerrado;25/07/2015;25/07/2015;04/08/2015;31/12/2017
11092017;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0046707-0;300.582;SOCIEDADE BENEFICENTE SAO LUIZ GONZAGA;69.273.605/0001-52;400.416;CEI INDIR - SAO LUIS GONZAGA;223;71;128.803,63;;;01/01/2018;31/12/2022;Aprovado;01/01/2018;;21/12/2017;
24;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.128-2;300.582;SOCIEDADE BENEFICENTE SAO LUIZ GONZAGA;69.273.605/0001-52;400.416;CEI INDIR - SAO LUIS GONZAGA;223;71;125.174,42;;;01/07/2015;31/12/2017;Encerrado;28/12/2012;01/10/2015;20/03/2014;31/12/2017
8842017;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0050089-2;300.126;ASS CULTURAL VITTA;07.246.378/0001-19;306.192;CEI INDIR - VILA DALVA, CEI;127;27;77.462,63;;;01/01/2018;31/12/2022;Aprovado;01/01/2018;;15/12/2017;
2559;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.299.181-7;300.126;ASS CULTURAL VITTA;07.246.378/0001-19;306.192;CEI INDIR - VILA DALVA, CEI;127;27;68.289,00;;;13/01/2016;12/07/2018;Encerrado;13/01/2016;13/01/2016;13/01/2016;31/12/2017
1520;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2013-0.230.417-4;300.126;ASS CULTURAL VITTA;07.246.378/0001-19;306.192;CEI INDIR - VILA DALVA, CEI;129;18;67.248,60;;;19/10/2013;18/04/2016;Encerrado;18/10/2013;;29/12/2014;13/01/2016
2270;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.241.005-9;800.036;ASSOCIAÇÃO NOITE ENCANTADA;00.209.352/0001-51;;CEI NOITE ENCANTADA V;196;123;0;19.000,00;;30/10/2015;29/04/2018;Encerrado;21/10/2015;;07/10/2015;12/11/2015
5962018;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2018/0014857-0;301.009;ASS COMUNITARIA RAIO DE SOL;04.107.580/0001-71;;CEI VOVO TONY;62;62;54.213,98;6.500,00;;;;Em Análise;;;29/03/2018;
5972018;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2018/0016214-0;800.387;ASSOCIAÇÃO CORUJINHA;26.350.594/0001-54;;CORUJINHA II;77;54;60.010,32;11.700,00;922,75;;;Em Análise;;;29/03/2018;
6032018;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2018/0016217-4;800.387;ASSOCIAÇÃO CORUJINHA;26.350.594/0001-54;;CORUJINHA III;99;87;78.283,17;15.490,00;1.268,16;;;Em Análise;;;02/04/2018;
6002018;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2018/0016489-4;800.387;ASSOCIAÇÃO CORUJINHA;26.350.594/0001-54;;CORUJINHA IV;111;87;83.869,41;15.427,00;1.485,04;;;Em Análise;;;29/03/2018;
5992018;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2018/0016217-4;800.387;ASSOCIAÇÃO CORUJINHA;26.350.594/0001-54;;CORUJINHA IV;99;87;0;15.490,00;1.268,16;;;Encerrado;;;29/03/2018;02/04/2018
5782017;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0048636-9;300.921;CENTRO EDUCACIONAL DE DESENVOLV JUVENIL E INFANTIL CEDEJI;13.222.705/0001-03;308.451;CR.P.CONV - ALECRIM;293;96;164.632,78;11.760,00;198,5;01/01/2018;31/12/2022;Aprovado;01/01/2018;;28/11/2017;
2080;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.174.215-5;300.921;CENTRO EDUCACIONAL DE DESENVOLV JUVENIL E INFANTIL CEDEJI;13.222.705/0001-03;308.451;CR.P.CONV - ALECRIM;280;122;164.930,74;11.760,00;198,5;25/07/2015;24/01/2018;Encerrado;25/07/2015;21/06/2017;05/08/2015;31/12/2017
5802017;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0049991-6;800.070;ASSOCIAÇÃO BENEFICENTE ALEGRIA DE APRENDER;18.249.301/0001-19;308.408;CR.P.CONV - ALEGRIA DE APRENDER;109;49;74.317,31;7.700,00;393,37;01/01/2018;31/12/2022;Aprovado;01/01/2018;;28/11/2017;
2138;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.186.490-0;800.070;ASSOCIAÇÃO BENEFICENTE ALEGRIA DE APRENDER;18.249.301/0001-19;308.408;CR.P.CONV - ALEGRIA DE APRENDER;103;54;72.658,54;7.700,00;393,37;25/07/2015;24/01/2018;Encerrado;25/07/2015;19/06/2017;07/08/2015;31/12/2017
5822017;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0050111-2;300.707;GREMIO RECREATIVO CULTURAL E DUCACIONAL RUBRO VERDE;67.843.045/0001-07;306.507;CR.P.CONV - BELEZINHA PRIMAVERA;94;33;63.704,59;5.820,58;639,02;01/01/2018;31/12/2022;Aprovado;01/01/2018;;28/11/2017;
2719;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2016-0.124.684-2;300.707;GREMIO RECREATIVO CULTURAL E DUCACIONAL RUBRO VERDE;67.843.045/0001-07;306.507;CR.P.CONV - BELEZINHA PRIMAVERA;97;36;63.928,15;5.820,50;639,02;20/06/2016;19/12/2018;Encerrado;20/06/2016;14/06/2017;21/06/2016;31/12/2017
572017;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2017-0.105.050-8;300.464;LIGA DAS SENHORAS CATOLICAS DE SAO PAULO;60.597.044/0001-72;307.815;CR.P.CONV - CASA DA INFANCIA DO MENINO JESUS;280;127;166.065,09;;;31/07/2017;30/07/2022;Aprovado;31/07/2017;;31/07/2017;
910;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.144.750-6;300.464;LIGA DAS SENHORAS CATOLICAS DE SAO PAULO;60.597.044/0001-72;307.815;CR.P.CONV - CASA DA INFANCIA DO MENINO JESUS;281;128;162.025,22;;;01/02/2015;30/07/2017;Encerrado;01/08/2012;20/01/2016;31/07/2014;30/07/2017
4172017;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0042997-7;300.255;CASA DA PEQUENA IVETE ASSOCIACAO ASSISTENCIAL;44.694.297/0001-08;306.191;CR.P.CONV - CASA DA PEQUENA IVETE;66;18;46.261,38;;;01/01/2018;31/12/2022;Aprovado;01/01/2018;;14/11/2017;
39;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.281.907-5;300.255;CASA DA PEQUENA IVETE ASSOCIACAO ASSISTENCIAL;44.694.297/0001-08;306.191;CR.P.CONV - CASA DA PEQUENA IVETE;66;18;44.957,76;;;01/07/2015;31/12/2017;Encerrado;28/12/2012;30/06/2015;20/03/2014;31/12/2017
1570;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.125.936-0;300.329;NUCLEO ASSISTENCIAL IRMAO ALFREDO;50.866.490/0001-81;306.727;CR.P.CONV - COEPE I;129;34;77.660,74;;;02/12/2014;01/06/2017;Encerrado;01/06/2012;01/12/2014;20/01/2015;19/10/2015
5412017;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0044113-6;800.387;ASSOCIAÇÃO CORUJINHA;26.350.594/0001-54;308.943;CR.P.CONV - CORUJINHA I;150;138;112.554,06;15.395,00;1.401,07;05/12/2017;04/12/2022;Aprovado;05/12/2017;;24/11/2017;
20170060;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2017-0.041.969-9;300.252;CARITAS DIOCESANA DE CAMPO LIMPO;64.033.061/0001-38;306.211;CR.P.CONV - DOM EMILIO PIGNOLI;194;;97.378,62;13.167,00;1.148,71;28/04/2017;27/10/2019;Encerrado;28/04/2017;28/04/2017;27/04/2017;31/12/2017
6052017;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0048784-5;300.252;CARITAS DIOCESANA DE CAMPO LIMPO;64.033.061/0001-38;306.211;CR.P.CONV - DOM EMILIO PIGNOLI;191;34;106.623,20;13.167,00;1.148,71;01/01/2018;31/12/2022;Aprovado;01/01/2018;;01/12/2017;
19;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.048.707-5;300.252;CARITAS DIOCESANA DE CAMPO LIMPO;64.033.061/0001-38;306.211;CR.P.CONV - DOM EMILIO PIGNOLI;194;;97.378,62;18.000,00;1.148,71;29/10/2014;29/04/2017;Encerrado;27/04/2012;27/04/2012;19/03/2014;29/04/2017
6202017;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0050038-8;300.064;ASS BARAO DE SOUZA QUEIROS DE PROTECAO A INFANCIA E A JUVENT;60.598.539/0001-16;306.196;CR.P.CONV - DONA ANA ROSA, INST;288;82;159.302,50;;;01/01/2018;31/12/2022;Aprovado;01/01/2018;;01/12/2017;
44;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.281.934-2;300.064;ASS BARAO DE SOUZA QUEIROS DE PROTECAO A INFANCIA E A JUVENT;60.598.539/0001-16;306.196;CR.P.CONV - DONA ANA ROSA, INST;300;82;159.838,06;;;01/07/2015;31/12/2017;Encerrado;26/12/2012;10/10/2016;20/03/2014;31/12/2017
6062017;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0048789-6;800.093;ASSOCIAÇÃO PAIS E FILHOS;11.694.582/0001-70;308.673;CR.P.CONV - FAZENDO ARTE;80;32;56.541,44;5.950,00;357,12;01/01/2018;31/12/2022;Aprovado;01/01/2018;;01/12/2017;
2667;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2016-0.095.167-4;800.093;ASSOCIAÇÃO PAIS E FILHOS;11.694.582/0001-70;308.673;CR.P.CONV - FAZENDO ARTE;80;32;49.845,20;5.950,00;;31/05/2016;29/11/2018;Encerrado;30/05/2016;30/05/2016;06/05/2016;31/12/2017
7692017;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0044040-7;300.421;CRECHE FRATERNIDADE MARIA DE NAZARE;57.277.808/0001-38;306.194;CR.P.CONV - FRATERNIDADE MARIA DE NAZARE;73;24;51.174,54;;;01/01/2018;31/12/2022;Aprovado;01/01/2018;;08/12/2017;
45;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.281.948-2;300.421;CRECHE FRATERNIDADE MARIA DE NAZARE;57.277.808/0001-38;306.194;CR.P.CONV - FRATERNIDADE MARIA DE NAZARE;73;24;49.732,48;;;01/07/2015;31/12/2017;Encerrado;26/12/2012;01/11/2016;20/03/2014;31/12/2017
4192017;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0048135-9;300.126;ASS CULTURAL VITTA;07.246.378/0001-19;307.726;CR.P.CONV - GARATUJA, CEI;60;9;41.175,03;5.113,75;;08/12/2017;07/12/2022;Aprovado;08/12/2017;;14/11/2017;
