Nº Protocolo;Código DRE;DRE;Processo SIMPROC;Código OSC Parceira;OSC Parceira;CNPJ;Código Escola;Unidade Educacional;Vagas Contratadas; Vagas Berçário Contratadas ;Total Mensal;Verba Locação;Valor Mensal IPTU;Data Início;Data Término;Situação Parceria;Data Lavratura do Termo;Data Lavratura do Aditamento;Data de Atualização;Data Solicitação Parceria;Data do Encerramento
58;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2011-0.352.525-1;300416;INSTITUICAO BENEFICENTE PERSIO GUIMARAES AZEVEDO;62.440.094/0001-77;400633;CEI INDIR - JARDIM JAQUELINE;161;63;91937,39;;;01/08/2014;31/12/2016;Encerrado;01/02/2012;28/07/2014;18/01/2017;24/03/2014;31/12/2016
2502;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.283.233-6;300508;OBRA ASSISTENCIAL JESUS MENINO;01.309.378/0001-34;400413;CEI INDIR - JOAO XXIII, PAPA;123;27;66769,8;;;08/12/2015;07/06/2018;Encerrado;08/12/2015;13/01/2016;21/02/2018;08/12/2015;31/12/2017
36;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2011-0.210.672-7;300508;OBRA ASSISTENCIAL JESUS MENINO;01.309.378/0001-34;400413;CEI INDIR - JOAO XXIII, PAPA;99;99;74267,79;;;01/03/2014;31/08/2016;Encerrado;11/09/2012;29/01/2015;08/12/2015;20/03/2014;08/12/2015
9992017;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0050010-8;300453;LAR DO ALVORECER CRISTAO;51.221.760/0002-40;400408;CEI INDIR - LAR DO ALVORECER CRISTAO;133;49;0;;;;;Encerrado;;;19/12/2017;19/12/2017;19/12/2017
9972017;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0050010-8;300453;LAR DO ALVORECER CRISTAO;51.221.760/0002-40;400408;CEI INDIR - LAR DO ALVORECER CRISTAO;133;49;0;;;;;Encerrado;;;21/02/2018;19/12/2017;31/12/2017
1529;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.012-0;800023;LAR DO ALVORECER CRISTÃO;51.221.760/0001-60;400408;CEI INDIR - LAR DO ALVORECER CRISTAO;136;49;83898,7;;;01/07/2015;31/12/2017;Encerrado;26/12/2012;26/12/2012;21/02/2018;30/12/2014;31/12/2017
46;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.031-6;300376;CONJUNTO ASSISTENCIAL NOSSA SENHORA DA CONCEICAO APARECIDA;62.481.064/0001-09;400306;CEI INDIR - MAE DO SALVADOR;176;66;104394,06;;;01/07/2015;31/12/2017;Encerrado;21/12/2012;21/12/2012;21/02/2018;20/03/2014;31/12/2017
882017;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2017-0.112.296-7;300428;CRUZADA PRO INFANCIA;60.915.790/0001-67;400307;CEI INDIR - MARIA DE LOURDES FERRARINI;107;40;71344,44;;;18/08/2017;17/08/2022;Aprovado;18/08/2017;;10/10/2017;18/08/2017;
57;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.157.995-0;300428;CRUZADA PRO INFANCIA;60.915.790/0001-67;400307;CEI INDIR - MARIA DE LOURDES FERRARINI;107;40;69334,17;;;19/02/2015;18/08/2017;Encerrado;17/08/2012;29/09/2016;06/09/2017;24/03/2014;18/08/2017
892017;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2017-0.112.299-1;300428;CRUZADA PRO INFANCIA;60.915.790/0001-67;306562;CEI INDIR - MARIA TEREZA DE MACEDO COSTA;207;71;121910,51;;;18/08/2017;17/08/2022;Aprovado;18/08/2017;;10/10/2017;18/08/2017;
55;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.158.368-8;300428;CRUZADA PRO INFANCIA;60.915.790/0001-67;306562;CEI INDIR - MARIA TEREZA DE MACEDO COSTA;207;71;118475,54;;;19/02/2015;18/08/2017;Encerrado;17/08/2012;28/10/2016;06/09/2017;24/03/2014;18/08/2017
3748;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2016-0.157.952-3;800036;ASSOCIAÇÃO NOITE ENCANTADA;00.209.352/0001-51;400412;CEI INDIR - NOITE ENCANTADA VII;69;14;42977,09;;;18/07/2016;17/01/2019;Encerrado;18/07/2016;18/07/2016;01/03/2018;19/07/2016;31/12/2017
2478;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.272.310-3;300326;CENTRO SOCIAL SANTO DIAS;58.409.871/0001-43;400332;CEI INDIR - NOSSA SENHORA ASSUNCAO;70;22;43372;;;23/11/2015;22/05/2018;Encerrado;23/11/2015;23/11/2015;21/02/2018;23/11/2015;31/12/2017
29;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2011-0.112.396-2;300326;CENTRO SOCIAL SANTO DIAS;58.409.871/0001-43;400332;CEI INDIR - NOSSA SENHORA ASSUNCAO;70;;38972;;;01/01/2014;30/06/2016;Encerrado;18/12/2013;19/12/2014;23/11/2015;20/03/2014;23/11/2015
52;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.046-4;300038;ASS BENEFICENTE CAMINHO DE DAMASCO;01.902.672/0001-55;400412;CEI INDIR - NOVA ERA, MODULO I;69;27;48421,44;;;01/07/2015;31/12/2017;Encerrado;27/12/2012;30/06/2015;19/07/2016;24/03/2014;05/07/2016
27;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.053-7;300038;ASS BENEFICENTE CAMINHO DE DAMASCO;01.902.672/0001-55;306206;CEI INDIR - NOVA ERA, MODULO II;69;27;48421,44;;;01/07/2015;31/12/2017;Encerrado;27/12/2012;30/06/2015;20/07/2016;20/03/2014;05/07/2016
34;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.105-3;300113;ASS CRIANCA BRASIL;58.373.234/0001-64;400415;CEI INDIR - RECANTO DA ALEGRIA III;136;45;83016,78;;;01/07/2015;31/12/2017;Encerrado;28/12/2012;21/10/2016;21/02/2018;20/03/2014;31/12/2017
3750;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2016-0.157.952-3;300113;ASS CRIANCA BRASIL;58.373.234/0001-64;306206;CEI INDIR - RECANTO DA ALEGRIA V;79;32;54455,04;;;18/07/2016;17/01/2019;Encerrado;18/07/2016;28/12/2017;21/02/2018;20/07/2016;31/12/2017
3747;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2016-0.156.672-3;300806;INSTITUTO LAETARE DE EDUCACAO, CULTURA E CIDADANIA;09.636.869/0001-00;400665;CEI INDIR - SANTA ROSA III;67;18;42878,67;;;18/07/2016;17/01/2019;Encerrado;18/07/2016;18/07/2016;07/03/2018;19/07/2016;31/12/2017
32;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2013-0.066.265-0;300549;PROVINCIA CARMELITANA DE SANTO ELIAS;33.621.319/0008-60;400370;CEI INDIR - SANTA TEREZA DE JESUS;101;18;63560,18;;;26/07/2015;25/01/2018;Encerrado;03/04/2013;03/04/2013;07/03/2018;20/03/2014;31/12/2017
2051;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.176.763-8;300252;CARITAS DIOCESANA DE CAMPO LIMPO;64.033.061/0001-38;400808;CEI INDIR - SAO BENEDITO;153;80;100688,06;;;25/07/2015;24/01/2018;Encerrado;25/07/2015;25/07/2015;21/02/2018;04/08/2015;31/12/2017
24;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.128-2;300582;SOCIEDADE BENEFICENTE SAO LUIZ GONZAGA;69.273.605/0001-52;400416;CEI INDIR - SAO LUIS GONZAGA;223;71;125174,42;;;01/07/2015;31/12/2017;Encerrado;28/12/2012;01/10/2015;21/02/2018;20/03/2014;31/12/2017
2559;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.299.181-7;300126;ASS CULTURAL VITTA;07.246.378/0001-19;306192;CEI INDIR - VILA DALVA, CEI;127;27;68289;;;13/01/2016;12/07/2018;Encerrado;13/01/2016;13/01/2016;21/02/2018;13/01/2016;31/12/2017
1520;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2013-0.230.417-4;300126;ASS CULTURAL VITTA;07.246.378/0001-19;306192;CEI INDIR - VILA DALVA, CEI;129;18;67248,6;;;19/10/2013;18/04/2016;Encerrado;18/10/2013;;13/01/2016;29/12/2014;13/01/2016
2270;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.241.005-9;800036;ASSOCIAÇÃO NOITE ENCANTADA;00.209.352/0001-51;;CEI NOITE ENCANTADA V;196;123;0;19000;;30/10/2015;29/04/2018;Encerrado;21/10/2015;;19/11/2015;07/10/2015;12/11/2015
2080;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.174.215-5;300921;CENTRO EDUCACIONAL DE DESENVOLV JUVENIL E INFANTIL CEDEJI;13.222.705/0001-03;308451;CR.P.CONV - ALECRIM;280;122;164930,74;11760;198,5;25/07/2015;24/01/2018;Encerrado;25/07/2015;21/06/2017;21/02/2018;05/08/2015;31/12/2017
2138;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.186.490-0;800070;ASSOCIAÇÃO BENEFICENTE ALEGRIA DE APRENDER;18.249.301/0001-19;308408;CR.P.CONV - ALEGRIA DE APRENDER;103;54;72658,54;7700;393,37;25/07/2015;24/01/2018;Encerrado;25/07/2015;19/06/2017;22/02/2018;07/08/2015;31/12/2017
2719;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2016-0.124.684-2;300707;GREMIO RECREATIVO CULTURAL E DUCACIONAL RUBRO VERDE;67.843.045/0001-07;306507;CR.P.CONV - BELEZINHA PRIMAVERA;97;36;63928,15;5820,5;639,02;20/06/2016;19/12/2018;Encerrado;20/06/2016;14/06/2017;22/02/2018;21/06/2016;31/12/2017
572017;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2017-0.105.050-8;300464;LIGA DAS SENHORAS CATOLICAS DE SAO PAULO;60.597.044/0001-72;307815;CR.P.CONV - CASA DA INFANCIA DO MENINO JESUS;280;127;166065,09;;;31/07/2017;30/07/2022;Aprovado;31/07/2017;;04/08/2017;31/07/2017;
910;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.144.750-6;300464;LIGA DAS SENHORAS CATOLICAS DE SAO PAULO;60.597.044/0001-72;307815;CR.P.CONV - CASA DA INFANCIA DO MENINO JESUS;281;128;162025,22;;;01/02/2015;30/07/2017;Encerrado;01/08/2012;20/01/2016;01/08/2017;31/07/2014;30/07/2017
39;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.281.907-5;300255;CASA DA PEQUENA IVETE ASSOCIACAO ASSISTENCIAL;44.694.297/0001-08;306191;CR.P.CONV - CASA DA PEQUENA IVETE;66;18;44957,76;;;01/07/2015;31/12/2017;Encerrado;28/12/2012;30/06/2015;22/02/2018;20/03/2014;31/12/2017
1570;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.125.936-0;300329;NUCLEO ASSISTENCIAL IRMAO ALFREDO;50.866.490/0001-81;306727;CR.P.CONV - COEPE I;129;34;77660,74;;;02/12/2014;01/06/2017;Encerrado;01/06/2012;01/12/2014;28/04/2016;20/01/2015;19/10/2015
5412017;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0044113-6;800387;ASSOCIAÇÃO CORUJINHA;26.350.594/0001-54;308943;CR.P.CONV - CORUJINHA I;150;138;112554,06;15395;1401,07;05/12/2017;04/12/2022;Aprovado;05/12/2017;;19/12/2017;24/11/2017;
20170060;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2017-0.041.969-9;300252;CARITAS DIOCESANA DE CAMPO LIMPO;64.033.061/0001-38;306211;CR.P.CONV - DOM EMILIO PIGNOLI;194;;97378,62;13167;1148,71;28/04/2017;27/10/2019;Encerrado;28/04/2017;28/04/2017;22/02/2018;27/04/2017;31/12/2017
19;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.048.707-5;300252;CARITAS DIOCESANA DE CAMPO LIMPO;64.033.061/0001-38;306211;CR.P.CONV - DOM EMILIO PIGNOLI;194;;97378,62;18000;1148,71;29/10/2014;29/04/2017;Encerrado;27/04/2012;27/04/2012;16/05/2017;19/03/2014;29/04/2017
44;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.281.934-2;300064;ASS BARAO DE SOUZA QUEIROS DE PROTECAO A INFANCIA E A JUVENT;60.598.539/0001-16;306196;CR.P.CONV - DONA ANA ROSA, INST;300;82;159838,06;;;01/07/2015;31/12/2017;Encerrado;26/12/2012;10/10/2016;22/02/2018;20/03/2014;31/12/2017
2667;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2016-0.095.167-4;800093;ASSOCIAÇÃO PAIS E FILHOS;11.694.582/0001-70;308673;CR.P.CONV - FAZENDO ARTE;80;32;49845,2;5950;;31/05/2016;29/11/2018;Encerrado;30/05/2016;30/05/2016;22/02/2018;06/05/2016;31/12/2017
45;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.281.948-2;300421;CRECHE FRATERNIDADE MARIA DE NAZARE;57.277.808/0001-38;306194;CR.P.CONV - FRATERNIDADE MARIA DE NAZARE;73;24;49732,48;;;01/07/2015;31/12/2017;Encerrado;26/12/2012;01/11/2016;23/02/2018;20/03/2014;31/12/2017
4192017;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0048135-9;300126;ASS CULTURAL VITTA;07.246.378/0001-19;307726;CR.P.CONV - GARATUJA, CEI;60;9;41175,03;5113,75;;08/12/2017;07/12/2022;Aprovado;08/12/2017;;11/12/2017;14/11/2017;
1974;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.030.335-2;300126;ASS CULTURAL VITTA;07.246.378/0001-19;307726;CR.P.CONV - GARATUJA, CEI;60;9;40014,72;5113,75;;08/06/2015;07/12/2017;Encerrado;08/06/2015;31/07/2017;16/01/2018;30/06/2015;07/12/2017
48;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2011-0.333.882-6;300126;ASS CULTURAL VITTA;07.246.378/0001-19;307726;CR.P.CONV - GARATUJA, CEI;63;;33972;6313,65;;24/07/2014;31/12/2014;Encerrado;24/01/2012;23/07/2014;02/02/2015;20/03/2014;
1522;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.281.957-1;300639;UNIAO DOS MORADORES DA FAVELA DO JARDIM COLOMBO;58.933.391/0001-87;306496;CR.P.CONV - GIRASSOL CRECHE;115;27;72119,29;;;21/07/2016;20/01/2018;Encerrado;28/01/2013;15/07/2016;13/03/2017;29/12/2014;29/01/2017
917;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2013-0.066.255-3;300464;LIGA DAS SENHORAS CATOLICAS DE SAO PAULO;60.597.044/0001-72;306910;CR.P.CONV - IPE;150;41;90547,67;;;26/07/2015;25/01/2018;Encerrado;03/04/2013;21/10/2016;23/02/2018;31/07/2014;31/12/2017
911;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2008-0.017.734-2;300464;LIGA DAS SENHORAS CATOLICAS DE SAO PAULO;60.597.044/0001-72;306910;CR.P.CONV - IPE;120;25;53340;;;03/10/2010;02/04/2013;Encerrado;03/04/2008;01/10/2010;19/01/2015;31/07/2014;
40;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.110-0;300428;CRUZADA PRO INFANCIA;60.915.790/0001-67;306219;CR.P.CONV - IZABEL MENDES DE CASTRO, R.I.;157;63;95777,7;;;01/07/2015;31/12/2017;Encerrado;28/12/2012;18/10/2016;01/03/2018;20/03/2014;31/12/2017
1557;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.281.984-9;300412;CRECHE DE JESUS MENINO;52.633.286/0001-46;306197;CR.P.CONV - JESUS MENINO;56;;35495,04;;;01/07/2015;31/12/2017;Encerrado;27/12/2012;27/12/2012;23/02/2018;15/01/2015;31/12/2017
73;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2007-0.344.282-8;300412;CRECHE DE JESUS MENINO;52.633.286/0001-46;306197;CR.P.CONV - JESUS MENINO;60;;0;;;01/01/2008;30/06/2010;Encerrado;28/12/2007;;15/01/2015;24/03/2014;
907;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2007-0.358.760-5;300464;LIGA DAS SENHORAS CATOLICAS DE SAO PAULO;60.597.044/0001-72;306897;CR.P.CONV - JOAO DE BARRO;136;;54806;;;01/07/2010;31/12/2012;Encerrado;28/12/2007;12/12/2011;09/01/2015;31/07/2014;
31;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.281.993-8;300464;LIGA DAS SENHORAS CATOLICAS DE SAO PAULO;60.597.044/0001-72;306897;CR.P.CONV - JOAO DE BARRO;140;18;78738,54;;;01/07/2015;30/12/2017;Encerrado;28/12/2012;21/10/2016;23/02/2018;20/03/2014;30/12/2017
37;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.281.942-3;300517;MOSTEIRO SAO GERALDO DE SAO PAULO;61.697.678/0001-60;306193;CR.P.CONV - JOSE GASPAR, D.;158;32;89361,5;;;01/07/2015;31/12/2017;Encerrado;28/12/2012;16/06/2015;01/03/2018;20/03/2014;31/12/2017
49;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.009-0;300201;ASS LAR CRIANCA FELIZ;50.253.590/0001-32;306198;CR.P.CONV - LAR CRIANCA FELIZ;227;105;134345,46;;;01/07/2015;31/12/2017;Encerrado;28/12/2012;22/11/2017;23/02/2018;21/03/2014;31/12/2017
845;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2007-0.344.292-5;300199;ASSOCIACAO SANTO AGOSTINHO;62.272.497/0001-54;306199;CR.P.CONV - LAR INFANTIL - ASA;178;47;75548;;;01/07/2010;31/12/2012;Encerrado;28/06/2010;;19/01/2015;29/07/2014;
47;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.017-0;300199;ASSOCIACAO SANTO AGOSTINHO;62.272.497/0001-54;306199;CR.P.CONV - LAR INFANTIL - ASA;178;47;101042,3;;;01/07/2015;30/12/2017;Encerrado;28/12/2012;28/12/2012;23/02/2018;20/03/2014;30/12/2017
7622017;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0044613-8;300177;ASS FRATERNIDADE ASSISTENCIAL RIO PEQUENO;51.964.195/0001-20;306201;CR.P.CONV - LAR PAULO DE TARSO;130;32;0;;;;;Encerrado;;;08/12/2017;08/12/2017;08/12/2017
15;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.024-3;300177;ASS FRATERNIDADE ASSISTENCIAL RIO PEQUENO;51.964.195/0001-20;306201;CR.P.CONV - LAR PAULO DE TARSO;122;32;74289,02;;;01/07/2015;31/12/2017;Encerrado;26/12/2012;26/12/2012;23/02/2018;19/03/2014;31/12/2017
2088;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.133.979-2;800066;NUCLEO ASSISTENCIAL AFRÂNIO HINGEL PINTO;00.110.796/0001-35;308347;CR.P.CONV - LEON ALEXANDR;65;16;45300,22;;;17/05/2015;16/01/2018;Encerrado;17/07/2015;17/07/2015;23/02/2018;05/08/2015;31/12/2017
4837;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2016-0.216.715-6;300252;CARITAS DIOCESANA DE CAMPO LIMPO;64.033.061/0001-38;307101;CR.P.CONV - MAE DE DEUS;106;24;61655,46;14995,2;;27/11/2016;26/05/2019;Encerrado;25/11/2016;25/11/2016;23/02/2018;28/11/2016;31/12/2017
65;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2008-0.215.724-2;300252;CARITAS DIOCESANA DE CAMPO LIMPO;64.033.061/0001-38;307101;CR.P.CONV - MAE DE DEUS;103;103;53751,5;8750;;27/05/2009;26/11/2011;Encerrado;27/05/2009;;16/01/2015;24/03/2014;
17;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2011-0.247.722-9;300252;CARITAS DIOCESANA DE CAMPO LIMPO;64.033.061/0001-38;307101;CR.P.CONV - MAE DE DEUS;96;48;62379,36;14995,2;;27/05/2014;26/11/2016;Encerrado;25/11/2011;22/12/2015;28/11/2016;19/03/2014;26/11/2016
20;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2013-0.213.708-1;300936;GREMIO RECREATIVO CULTURAL EDUCACIONAL E SOCIAL MARAVILHA;57.284.994/0001-32;307992;CR.P.CONV - MARAVILHA I;156;132;100303,2;18000;;19/09/2013;19/03/2016;Encerrado;19/09/2013;;31/07/2015;19/03/2014;10/07/2015
5602017;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0049835-9;301040;ASS MISSIONARIAS DE SANTISSIMA TRINDADE;62.197.413/0001-65;308944;CR.P.CONV - MARIA DE LOURDES;220;196;155869,92;8574,13;407,3;06/12/2017;05/12/2022;Aprovado;06/12/2017;;19/12/2017;27/11/2017;
26;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.042-1;300153;ASS DE CRECHES MARIA DE NAZARE;51.536.662/0001-11;306202;CR.P.CONV - MARIA DE NAZARE;133;38;80217,38;;;01/07/2015;30/12/2017;Encerrado;27/12/2013;27/12/2013;23/02/2018;20/03/2014;30/12/2017
4772017;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;6016.2017/0043380-0;800036;ASSOCIAÇÃO NOITE ENCANTADA;00.209.352/0001-51;308302;CR.P.CONV - NOITE ENCANTADA I;119;31;74888,85;5600;816,12;25/11/2017;24/11/2022;Aprovado;25/11/2017;25/11/2017;31/01/2018;17/11/2017;
1945;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.033.663-3;800036;ASSOCIAÇÃO NOITE ENCANTADA;00.209.352/0001-51;308302;CR.P.CONV - NOITE ENCANTADA I;123;41;76692,02;5600;816,12;25/05/2015;24/11/2017;Encerrado;25/05/2015;14/06/2017;08/12/2017;28/05/2015;24/11/2017
2028;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.176.760-3;800036;ASSOCIAÇÃO NOITE ENCANTADA;00.209.352/0001-51;308446;CR.P.CONV - NOITE ENCANTADA II;118;57;80321,95;6300;678,1;25/07/2015;24/01/2018;Encerrado;25/07/2015;14/06/2017;23/02/2018;30/07/2015;31/12/2017
2030;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.171.376-7;800036;ASSOCIAÇÃO NOITE ENCANTADA;00.209.352/0001-51;308447;CR.P.CONV - NOITE ENCANTADA III;134;46;84788,9;5950;812,1;26/07/2015;25/01/2018;Encerrado;26/07/2015;14/06/2017;23/02/2018;30/07/2015;31/12/2017
2029;108100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.187.594-5;800036;ASSOCIAÇÃO NOITE ENCANTADA;00.209.352/0001-51;308448;CR.P.CONV - NOITE ENCANTADA IV;97;16;61244,36;4550;648,89;26/07/2015;25/01/2018;Encerrado;25/07/2015;14/06/2017;23/02/2018;30/07/2015;31/12/2017
