Cod OSC;Nome OSC;CNPJ;Tipo_Logradouro;Nome_Logradouro;Endereco_Numero;Complemento;Bairro;CEP;Representante Legal;Portaria Credenciamento;Validade Credenciamento;Data Descredenciamento;Status Credenciamento;;;;;;;;
300015;ACAO COMUNITARIA SAO JOSE OPERARIO;53494894000180;Rua;DANIEL MONGOLO;99    ;;CONJUNTO RESIDENCIAL JOSÉ BONIFÁCIO;8250580;JOSE JOAO DA SILVA;91;;;CREDENCIADA;;;;;;;;
300017;ACAO COMUNITARIA TODOS IRMAOS;47383864000101;Rua;JOSÉ DA CUNHA PONTE;26    ;;PARQUE BELÉM;2850070;JUREMA FERNANDES MORAES SOUZA;51;2017-08-17 00:00:00.000;;CREDENCIADA;;;;;;;;
300019;ASS ASSISTENCIAL MONTE MORIA;07128547000116;Rua;SÍLVIO ESTEVES;98    ;;VILA INGLESA;4653225;LUIZ ANTONIO GOMES DE OLIVEIRA;124;;2017-04-19 00:00:00.000;DESCREDENCIADA;;;;;;;;
300022;ACAO SOCIAL CLARETIANA;60543279000181;Rua;JAGUARIBE;699   ;;VILA BUARQUE;1224001;HELY VAZ DINIZ;2;2017-08-17 00:00:00.000;;CREDENCIADA;;;;;;;;
300026;ASS BENCAO DE PAZ;64025232000187;Rua;RENATO RINALDI;517   ;;VILA CARRÃO;3426000;ANGELA MARIA GIUDICE DE OLIVEIRA;81;;;CREDENCIADA;;;;;;;;
300027;INSTITUTO SOCIAL NOSSA SENHORA DE FÁTIMA;43371392000108;Rua;AVE MARIA;78    ;;VELEIROS;4773180;AMBROGIO FORNASIERO;130;;;CREDENCIADA;;;;;;;;
300030;ASS BENEFICENTE ANJOS DA PAZ;09584495000118;Avenida;OLIVEIRA FREIRE;1204  ;;PARQUE PAULISTANO;8080570;ANTONIO RODRIGUES SOBRINHO;110;2017-10-21 00:00:00.000;;CREDENCIADA;;;;;;;;
300032;ACOEMA - ASS ENG MARSILAC E ADJACENCIAS;04492210000103;Rua;MANOEL MARTINS DE ARAÚJO;20    ;;ENGENHEIRO MARSILAC;4891390;;;;;CREDENCIADA;;;;;;;;
300033;ASS COMUNITARIA JARDIM INDEPENDENCIA;53755799000192;Rua;AUGUSTO PIACENTINI;136   ;;JARDIM INDEPENDÊNCIA;3223190;MARISA DOS SANTOS SOUZA;176;2017-10-23 00:00:00.000;;CREDENCIADA;;;;;;;;
300035;ASS BENEFICENTE BRAVAS GUERREIRAS;03879320000151;Rua;BARTOLINO DE PÁDUA;72    ;APTO 24 A;CIDADE TIRADENTES;8470780;;;;;CREDENCIADA;;;;;;;;
300037;AHIMSA - ASS EDUCACIONAL PARA MULTIPLA DEFICIENCIA;65513806000129;Rua;BALTAZAR LISBOA;212   ;;VILA MARIANA;4110060;MARILIA FERRIR AIDAR;;;;CREDENCIADA;;;;;;;;
300038;ASS BENEFICENTE CAMINHO DE DAMASCO;01902672000155;Rua;PADRE ÂNGELO GIOIELLI;96    ;;JARDIM SÃO JORGE (RAPOSO TAVARES);5567250;PAULO CESAR ADATI;31;;;CREDENCIADA;;;;;;;;
300040;ASS BENEFICENTE CLUBE DE MAES ACAO FAMILIAS;05972232000125;Avenida;DOUTOR ASSIS RIBEIRO;4083  ;;ENGENHEIRO GOULART;3717001;ZILDA RODRIGUES;103;2017-09-26 00:00:00.000;;CREDENCIADA;;;;;;;;
300042;ALDEIAS INFANTIS SOS BRASIL;35797364001109;Avenida;FERNANDO AMARO MIRANDA;61    ;;JARDIM COLONIAL;4821100;;189;2017-09-18 00:00:00.000;;CREDENCIADA;;;;;;;;
300043;APAE - ASS DE PAIS E AMIGOS DOS EXCEPCIONAIS DE SAO PAULO;60502242000105;Rua;LOEFGREN;2109  ;;VILA CLEMENTINO;4040033;CASSIO DOS SANTOS CLEMENTE;;;;CREDENCIADA;;;;;;;;
300050;ARRASTAO MOVIMENTO DE PROMOCAO HUMANA;43082197000168;Rua;DOUTOR JOVIANO PACHECO DE AGUIRRE;255   ;;JARDIM BOM REFÚGIO;5788290;VERA INES MARMO MASAGÃO RIBEIRO;254;;;CREDENCIADA;;;;;;;;
300052;ASS BENEFICENTE CRIANCA FELIZ;00103153000164;Rua;BAIARDO MEDEIROS;365   ;;JARDIM DAS CAMÉLIAS;8050330;;;;;CREDENCIADA;;;;;;;;
300054;ASS A CRIANCAS AO ADOLESCENTE E JOVENS DO ICARAI ICAJI;03807888000167;Rua;LAGOA DA TOCHA;573   ;;JARDIM DOS MANACÁS;4844080;MARCOS ANDREZA PASCOAL;;;;CREDENCIADA;;;;;;;;
300056;ASS BENEFICENTE DE AMURT AMURTEL;92251354000399;Rua;GENERAL NESTOR PASSOS;161   ;;JARDIM PARAÍSO;2417140;JOJI MARIETTA DUBLADO RANIERI;158;;;CREDENCIADA;;;;;;;;
300058;ASS BENEFICENTE DE MAES ORDEM E PROGRESSO;03147422000182;Avenida;DEPUTADO CANTÍDIO SAMPAIO;4050  ;;VILA SOUZA;2860001;LEILA RIBEIRO DA COSTA;34;2017-08-11 00:00:00.000;;CREDENCIADA;;;;;;;;
300059;ASS BENEFICENTE DE VOLTA PARA CASA;05220780000107;Avenida;CANGAÍBA;4486  ;;CANGAÍBA;3711003;LEANDRO LOPES DE ALMEIDA;;;;CREDENCIADA;;;;;;;;
300060;ASS A FAMILIA UNIAO FAZ A FORCA;05449168000100;Rua;FRANCISCO MARGALL;78    ;;JARDIM DAMASCENO;2879150;ROMILDO DA SILVA RIBEIRO;35;2017-08-11 00:00:00.000;;CREDENCIADA;;;;;;;;
300061;ASS ADELAIDE FERREIRA;45702776000191;Rua;DIAMANTE PRETO;533   ;;CHÁCARA CALIFÓRNIA;3317040;NICOLA MANOLO;57;;;CREDENCIADA;;;;;;;;
300067;ASS BENEFICENTE COMUNITARIA EM ITAQUERA E ADJACENCIAS;00265814000158;Rua;MAMBAÍ;117   ;;VILA TAQUARI;8230170;IZABEL DOS SANTOS CASTILHO;83;;;CREDENCIADA;;;;;;;;
300069;ASS BENEFICENTE E CULTURAL PANCAR;10863183000122;Rua;JARDIM TAMOIO;1358  ;;CONJUNTO RESIDENCIAL JOSÉ BONIFÁCIO;8255010;ELIANA RODRIGUES DOS SANTOS;;;;CREDENCIADA;;;;;;;;
300072;ASS BENEFICENTE EDUCACIONAL LAGEADO;04525637000152;Rua;TINGUI-DA-PRAIA;5     ;;VILA LOURDES;8452635;IVAN SILVA BATISTA;;;;CREDENCIADA;;;;;;;;
300073;ASS BENEFICENTE EDUCATIVA;01470611000166;Rua;ILHA DOS MARINHEIROS 81;81    ;;JD CAMPOS;8151730;JOSÉ MARQUES SOBRINHO;98;2017-10-22 00:00:00.000;;CREDENCIADA;;;;;;;;
300074;ASS BENEFICENTE ESPERANCA DO JARDIM SAO PAULO;55641252000191;Rua;JACQUES LACAN;70    ;A;JARDIM SÃO PAULO(ZONA LESTE);8461125;EDILEUSA PEREIRA DE OLIVEIRA;2;2017-10-20 00:00:00.000;;CREDENCIADA;;;;;;;;
300076;ASS CIVIL ANIMA;00251757000158;Rua;MAESTRO SAVINO BENEDICTIS;60    ;;RIO PEQUENO;5379070;VERA CECILIA MUNIZ BARDELLA;;;;CREDENCIADA;;;;;;;;
300077;ASS  FAA DI BRUNO FADIB;78210374000633;Rua;CORONEL MARQUES;100   ;;CHÁCARA CALIFÓRNIA;3407005;SOLANGE ANGELO DA FONSECA;74;;;CREDENCIADA;;;;;;;;
300081;ASS BENEFICENTE FEMININA SIRIO LIBANESA;43654110000180;Rua;AUGUSTA;2933  ;ANDAR 4 SALA 42;CERQUEIRA CÉSAR;1413100;IVETTE B. KANAWATE ATALLAH;1;;;CREDENCIADA;;;;;;;;
300083;ASS BENEFICENTE GUAINUMBI;04492408000189;Rua;EMANUEL LIST;96    ;;CHÁCARA FLÓRIDA;4949175;SELMA DE AGUIAR;;;;CREDENCIADA;;;;;;;;
300084;ASS COMUNITARIA BARRO BRANCO II;62270673000119;Rua;CACHOEIRA DO CAMPO GRANDE;400   ;;CONJUNTO HABITACIONAL BARRO BRANCO II;8475000;SANDRA APARECIDA AMARAL;;;;CREDENCIADA;;;;;;;;
300085;ASS BENEFICENTE IMACULADA CONCEICAO;55223457000157;Rua;ALMIRANTE MARQUES LEÃO;602   ;;BELA VISTA;1330010;MIGUEL PARENTE DIAS;183;2017-10-25 00:00:00.000;;CREDENCIADA;;;;;;;;
300087;ASS BENEFICENTE LUZ DA SABEDORIA;58632282000120;Rua;TIBÚRCIO DE SOUSA;716   ;;ITAIM PAULISTA;8140000;ROSA MARIA BEATRIZ;83;2017-10-22 00:00:00.000;;CREDENCIADA;;;;;;;;
300088;ASS COMUNITARIA CACHOEIRA DA FELICIDADE;00309301000100;Rua;AREIA DA AMPULHETA;88    ;;CONJUNTO HABITACIONAL CASTRO ALVES;8474110;;;;;CREDENCIADA;;;;;;;;
300091;ASS COM ACOES SOLID MORAD BAIR JD CAMARGO, OLINDA II, NELIA;07357427000190;Rua;LAGOA GAROPABA;29    ;;JARDIM CAMARGO NOVO;8141570;;;;;CREDENCIADA;;;;;;;;
300092;ASS COMUNITARIA DO JARDIM IDEAL;03212679000170;Rua;TEREZINE;113   ;;JARDIM IDEAL;4846680;SUELI CARDOSO DOS SANTOS SÁ;;;;CREDENCIADA;;;;;;;;
300095;ASS COMUNITARIA E BENEFICENTE NOVA SANTANA;07069893000170;Rua;VIRGÍNIA FERNI;1988  ;;ITAQUERA;8253001;VALDIRENE CATARINO DIAS;104;;;CREDENCIADA;;;;;;;;
300102;ASS COMUNITARIA RAIO DE CRISTAL;04239483000132;Travessa;CABO PM JOSÉ CARLOS RODRIGUES DA SILVA;103   ;;JARDIM FILHOS DA TERRA;2325030;MERCEDES CONCEIÇÃO DA CRUZ SANTOS LOPES;;;;CREDENCIADA;;;;;;;;
300103;ASS COMUNITARIA ROSE DO PARQUE GUAIANASES;07062331000103;Rua;NANCI ACKEL;151   ;;PARQUE GUAIANAZES;8431690;MARIA DO ROSARIO DA  RIBEIRO  DA SILVA;;;;CREDENCIADA;;;;;;;;
300104;ASS COMUNITARIA SANTA LUZIA;00126699000130;Rua;CONJUNTO DA PAZ;39    ;H;JARDIM MIRIAM;8142360;BENICE DA SILVA SANTOS;97;2017-10-20 00:00:00.000;;CREDENCIADA;;;;;;;;
300108;ASS CONGREGACAO DE SANTA CATARINA;60922168000186;Avenida;PAULISTA;200   ;;BELA VISTA;1310000;MARIA GREGORINE;151;2017-09-07 00:00:00.000;;CREDENCIADA;;;;;;;;
300109;ASS COOPERADORA DE FAMILIAS CARENTES DO JARDIM SENICE;00180816000144;Rua;SALVADOR ZÁCARO;3     ;;JARDIM SENICE;8150530;MAYARA DOS SANTOS DUARTE;114;2017-10-17 00:00:00.000;;CREDENCIADA;;;;;;;;
300111;ASSOCIAÇÃO CRECHE DA TIA D;58106956000152;Rua;ITATIBA DO SUL;750   ;;JARDIM VISTA ALEGRE;2878100;ADELGISA XAVIER CERQUEIRA;170;2017-08-16 00:00:00.000;;CREDENCIADA;;;;;;;;
300112;ASS CRECHE ZILDA BRANDAO;08736398000130;Rua;JOSÉ PINTO BRANDÃO;53    ;;TERCEIRA DIVISÃO DE INTERLAGOS;4809000;ANA PAULA ROSCHEL;;;;CREDENCIADA;;;;;;;;
300116;ASS CORACAO DO AMOR;61587945000146;Rua;MARFIM VEGETAL;31    ;;PARQUE PAULISTANO;8081330;MARIA LUCIA SILVA DOS SANTOS;84;2017-10-22 00:00:00.000;;CREDENCIADA;;;;;;;;
300117;ASS CRISTA BOA SEMENTE;07219393000178;Rua;MIGUEL MOTA;90    ;SALA 3;VILA CANERO;3191110;MARIA APARECIDA BORGES VIEIRA;112;2017-08-31 00:00:00.000;2017-08-30 00:00:00.000;DESCREDENCIADA;;;;;;;;
300118;ASS CRISTA DE MOCOS DE SAO PAULO;60982576000123;Rua;NESTOR PESTANA;147   ;;CONSOLAÇÃO;1303010;MARÍSIA DONATELLI;104;2017-08-13 00:00:00.000;;CREDENCIADA;;;;;;;;
300120;ASS CULTURAL E DESPORTIVA BANDEIRANTES;67009043000109;Rua;ITAIQUARA;155   ;;ITABERABA;2803050;JOSÉ FERREIRA DE MAGALHÃES;27;2014-08-16 00:00:00.000;;CREDENCIADA;;;;;;;;
300121;ASS CULTURAL E EDUCACIONAL RENOVACAO;02556818000110;Rua;BENTO DE FARIA;129   ;;BOSQUE DA SAÚDE;4151020;EZIO CONTE;122;2017-08-14 00:00:00.000;;CREDENCIADA;;;;;;;;
300122;ASS CULTURAL ESPORTIVA BENEF VL NOVA CACHOEIRINHA ACEB;06035952000127;Rua;CRIXANAS;130   ;;VILA NOVA CACHOEIRINHA;2613080;EWERTON BARROS XAVIER DA SILVA;43;2017-08-20 00:00:00.000;;CREDENCIADA;;;;;;;;
300123;ASS BENEFICENTE MADRE CAMILA;47895586000244;Rua;FREI PAULO DE SOROCABA;164   ;;VILA LAGEADO;5340020;;;;;CREDENCIADA;;;;;;;;
300126;ASS CULTURAL VITTA;07246378000119;Rua;JOSÉ FILIPE DA SILVA;382   ;SALA 4;JARDIM ESTER;5372040;SORAYA RITA LACERDA;161;2020-01-18 00:00:00.000;;CREDENCIADA;;;;;;;;
300127;ASS CULTURAL DA UNIAO DAS MULHERES DALVA DA PAIXAO ;67131698000155;Rua;TERRA BRASILEIRA;345   ;;CIDADE ANTÔNIO ESTEVÃO DE CARVALHO;8223355;ELMA DA PAIXÃO;;;;CREDENCIADA;;;;;;;;
300129;ASS DA VIDA VERDE TOPY BOL;04931931000164;Rua;RUA MARIA PAULA DO CARMO 340;340   ;;JARDIM POPULAR;3673030;FABIANE DE SOUZA CARDOSO;17;2017-09-10 00:00:00.000;;CREDENCIADA;;;;;;;;
300131;ASS DAS DAMAS DA CARIDADE DE SAO VICENTE DE PAULA;60904711000112;Rua;DOUTOR ALBUQUERQUE LINS;844   ;;SANTA CECÍLIA;1230000;CARMEN THEREZINHA DE PAULA FERRANTE;690;;;CREDENCIADA;;;;;;;;
300133;ASS DE AMIGOS EM PROL DA EDUCACAO INFANTIL;10362214000161;Avenida;GUSTAVO ADOLFO;1634  ;;VILA GUSTAVO;2209001;LEONARDO FAGNER PIRES SOARES;126;;;CREDENCIADA;;;;;;;;
300134;INSTITUTO OIKOS;03172728000199;Avenida;ITABERABA;3037  ;;ITABERABA;2739000;JAIRO CAVALCANTE AVILA;44;2017-08-27 00:00:00.000;;CREDENCIADA;;;;;;;;
300135;ASS AMIGOS DO PROJETO PINDERE;07989026000153;Rua;PROFESSOR ANTÔNIO DE FRANCO;22    ;;JARDIM SÃO LUÍS;5844200;JONATAS UBALDO SILVA VENACIO;;;;CREDENCIADA;;;;;;;;
300137;ASS DE APOIO A LIBERDADE, VIDA E ESPERANCA;02709201000198;Rua;ANGELINO GUERINO;198   ;;VILA CURUÇÁ;8031790;LUZIA ALVES DOROTEIO;121;2017-11-04 00:00:00.000;;CREDENCIADA;;;;;;;;
300138;ASS BENEFICENTE SAO FRANCISCO DE ASSIS;67130286000109;Rua;TOLEDO BARBOSA;792   ;;BELENZINHO;3061000;GLADYS THEREZINHA COMIMO AVILLER GALLELLO;49;2017-08-19 00:00:00.000;;CREDENCIADA;;;;;;;;
300140;ASS BENEFICENTE UNIDOS DO JARDIM GUARANI;00000151000140;Rua;TRAJANO DE CARVALHO;196   ;;JARDIM GUARANI;2851090;CLAUDIA SOUTO DE MELO;171;2017-08-19 00:00:00.000;;CREDENCIADA;;;;;;;;
300141;ASS BENEFICENTE VITORINO;07253597000125;Rua;JOSÉ ALVES COELHO;217   ;;JARDIM NÉLIA;8142180;KATHELLEN DANTAS VITORINO;84;2014-11-04 00:00:00.000;;CREDENCIADA;;;;;;;;
300142;ASS BENEFICENTE COMUNITARIA AURORA;01429614000156;Rua;GIOVANNI LEGRENZI;236   ;B;CIDADE ANTÔNIO ESTEVÃO DE CARVALHO;8225270;TEREZINHA GOMES DE FARIA VASCONCELLOS;72;;;CREDENCIADA;;;;;;;;
300143;OSCIP-ORG SOCIEDADE CIVIL DE INTERESSES PUBLICO AMAR A VIDA;01039446000192;Rua;DOUTOR JACI BARBOSA;375   ;;VILA CARRÃO;3447000;CLEBER DIAS;90;2017-11-23 00:00:00.000;;CREDENCIADA;;;;;;;;
300145;ASS BRASILEIRA DE EDUCACAO E CULTURA;60982352000111;Rua;DO LAVAPÉS;1023  ;;CAMBUCI;1519000;DELCIO AFONSO BALESTIN;150;2017-09-11 00:00:00.000;;CREDENCIADA;;;;;;;;
300148;ASS CAMINHO DO SOL;58920166000106;Rua;HEITOR FERNANDES;18    ;;LAJEADO;8450410;FABIO LUIZ DA SILVA;;;;CREDENCIADA;;;;;;;;
300149;ASS CANTAREIRA;01431671000170;Rua;JORGE PIRES RAMALHO;71    ;;VILA ISABEL;2846190;CILTO JOSÉ ROSEMBACH;26;2017-08-27 00:00:00.000;;CREDENCIADA;;;;;;;;
300151;ASS DE CONSTRUCAO POR MUTIRAO DOS TRABALHADORES;03107170000168;Avenida;GENERAL ATALIBA LEONEL;587   ;;SANTANA;2033000;IVONE MACHADO GONÇALVES;;;;CREDENCIADA;;;;;;;;
300154;ASS CASA DOS DEFICIENTES DE ERMELINO MATARAZZO;61058475000123;Rua;MIGUEL RACHID;596   ;;VILA PARANAGUÁ;3808130;LUÍS ARAÚJO FRANÇA;111;2017-08-28 00:00:00.000;;CREDENCIADA;;;;;;;;
300155;ASS CASA SAO JOSE E CENTRO COM DO JD SAO LUIS CASA DO MENOR;57757510000125;Rua;JOSÉ BARROS MAGALDI;100   ;;JARDIM SÃO JOÃO;5815000;NATALINA CERCHIARO;;;;CREDENCIADA;;;;;;;;
300162;ASS DE MORADORES DO JARDIM COMERCIAL E ADJACENCIAS;52164233000123;Rua;FALKENBERG;175   ;177;JARDIM COMERCIAL;5885240;ANTONIA LUCIA FERNANDES DA SILVA;266;;;CREDENCIADA;;;;;;;;
300163;ASSOCIAÇÃO DE MULHERES RACA E CORAGEM;67982884000106;Rua;ALEXANDRE ORLOV;92    ;;JARDIM DONÁRIA;2990330;LAURINETE SANTOS DA SILVA CHIMENES;80;2017-07-24 00:00:00.000;2016-05-05 00:00:00.000;DESCREDENCIADA;;;;;;;;
300164;ASS DE MORADORES DE VILA CARBONE;57059883000122;Rua;BALTAZAR DE QUADROS;202   ;;VILA PALMEIRAS;2727080;ERICK JORDAN TOLEDO SALGADO;36;2017-08-09 00:00:00.000;;CREDENCIADA;;;;;;;;
300168;ASS DE MORADORES DO PROJETO MILENIO;03224732000153;Rua;VICTÓRIO NEGRELLE;216   ;;JARDIM CAMARGO NOVO;8121780;EDUARDO DANTAS DA  SILVA;;;;CREDENCIADA;;;;;;;;
300169;INSTITUTO DE EDUCACAO E CULTURA ALUTHA;02954996000108;Rua;AVELEDA;88    ;BL2 APTO 22;JARDIM SANTA TEREZINHA (ZONA LESTE);3572330;ROSINA ROSA DOS SANTOS;87;2017-07-19 00:00:00.000;;CREDENCIADA;;;;;;;;
300172;ASSOCIAÇÃO VALE VERDE;02622112000100;Rua;JACIARA;104   ;;JARDIM DAMASCENO;2879020;ANTONIO WILSON GIANDOMENICO;49;2017-08-17 00:00:00.000;;CREDENCIADA;;;;;;;;
300174;ASS DE MULHERES AMIGAS DE JOVA RURAL;00346741000129;Rua;ROBERTO LANARI;29    ;;CONJUNTO HABITACIONAL JOVA RURAL;2281209;MARIA ELISA LUIZ SANTANA;;;;CREDENCIADA;;;;;;;;
300176;SHEKINÁ ASSOCIAÇÃO FILANTROPICA DE ASSISTENCIA A FAMILIA;05400768000176;Rua;OSCAR ROSAS RIBEIRO;62    ;;JARDIM ALMANARA;2863000;NILDE FERREIRA FEITOSA;110;2017-08-16 00:00:00.000;;CREDENCIADA;;;;;;;;
300178;ASS DOS MORADORES DO JARDIM SANTA CECILIA;55641468000157;Rua;HUMBERTO MIRANDA;3     ;;JARDIM CRISTÁLIA;5843250;RITA DE CASSIA MACHADO OLAVO;;;;CREDENCIADA;;;;;;;;
300180;ASS GENTE E PARA BRILHAR;05084094000148;Rua;FREI FRANCISCO FERREIRA;42    ;;VILA MISSIONÁRIA;4430180;;;;;CREDENCIADA;;;;;;;;
300182;ASS DOS MORADORES DA GLEBA DO PESSEGO;55576185000179;Rua;CONFISSÃO;783   ;;GLEBA DO PÊSSEGO;8265230;;;;;CREDENCIADA;;;;;;;;
300184;ASS GRUPO DE MAES SOLIDARIAS BEM VIVER;00000113000197;Avenida;ELÍSIO TEIXEIRA LEITE;7511  ;;SÍTIO MORRO GRANDE;2810000;KARINA PEREIRA DE SOUZA;73;;;CREDENCIADA;;;;;;;;
300186;ASSOCIACAO DOS MORADORES DA ZONA NORTE;54325238000116;Rua;DAVID ALAN;108   ;;JARDIM JAÇANÃ;2318060;DONIZETI PRADO FISCHER DE MOURA;131;;;CREDENCIADA;;;;;;;;
300189;ASS DOS MORADORES DE VILA REIS JARDIM PLANALTO E REGIAO;66854555000109;Rua;FLOR DA RESSURREIÇÃO;390   ;;VILA JACUÍ;8050070;APARECIDO LUIZ DA SILVA;8;2018-02-02 00:00:00.000;;CREDENCIADA;;;;;;;;
300190;ASSOCIACAO PARA A SAUDE - NUCLEO SALUS PAULISTA;71732960000194;Rua;DAS AZALÉAS;244   ;;MIRANDÓPOLIS;4049010;SAMIRA BENTO FARAH;140;2017-09-11 00:00:00.000;;CREDENCIADA;;;;;;;;
300191;ASSOCIACAO PAULISTA DE APOIO A FAMILIA - APAF;07144360000106;Rua;ARAQUÃ;51    ;;BELA VISTA;1306020;ELIANA OSSOWIECKI RAHMILEVITZ;141;2017-09-18 00:00:00.000;;CREDENCIADA;;;;;;;;
300192;ASSOCIACAO PELA FAMILIA;61330817000112;Rua;BENTO DE ANDRADE;324   ;;JARDIM PAULISTA;4503000;FRANCISCO AUGUSTO CARMIL CATÃO;128;2017-08-26 00:00:00.000;;CREDENCIADA;;;;;;;;
300193;ASS PRO-HOPE - APOIO A CRIANCA COM CANCER;02072483000165;Alameda;DOS GUAINUMBIS;1027  ;;PLANALTO PAULISTA;4067002;CLAUDIA BONFIGLIOLI;;;;CREDENCIADA;;;;;;;;
300196;ASSOCIACAO RECREATIVA CULTURAL E ASSISTENCIAL - ARCA;05551050000180;Rua;ABEL TAVARES;20    ;;JARDIM BELÉM;3810110;MARIA JANURARIA FERREIRA;136;2017-09-25 00:00:00.000;;CREDENCIADA;;;;;;;;
300197;ASSOCIACAO RESTAURAR DE ASSISTENCIA E DESENVOLVIMENTO;09009768000109;Rua;FRUTA-DO-PARAÍSO;168   ;;VILA JACUÍ;8050050;ELI DE SOUSA ALVIM;6;2018-02-02 00:00:00.000;;CREDENCIADA;;;;;;;;
300198;ASSOCIACAO SANTA BARBARA - CAMINHO DA PAZ;03049245000100;Rua;DOMINGOS AREVALO;495   ;;JARDIM DAMASCENO;2879070;TEREZINHA MARIA DE JESUS;37;2017-08-09 00:00:00.000;;CREDENCIADA;;;;;;;;
300200;ASSOCIACAO SAO GABRIEL;09359786000102;Rua;LUIZ FACCINI;419   ;;VILA TERESINHA;2853040;FÁBIO LUIZ NORBERTO;53;2017-08-17 00:00:00.000;;CREDENCIADA;;;;;;;;
300202;ASS MADRE CABRINI DAS IRMAS MISSIONARIAS DO SAGRADO CORACAO;61988531000129;Rua;CAPITÃO CAVALCANTI;51    ;;VILA MARIANA;4017000;MARIA ELIANE AZEVEDO DA SILVA;106;2017-08-13 00:00:00.000;;CREDENCIADA;;;;;;;;
300203;ASS MARIA FLOS CARMELI;06272037000155;Rua;GLICÉRIO;238   ;;VILA SANTANA;8230090;MARIA HELENA MONTES SILVA;139;2017-09-11 00:00:00.000;;CREDENCIADA;;;;;;;;
300204;ASSOCIACAO RAIOS DE LUZ;02947740000165;Rua;RAIOS DE JÚPITER;70    ;;JARDIM CAMARGO NOVO;8142420;EUNICE RODRIGUES DE OLIVEIRA;117;2017-11-06 00:00:00.000;;CREDENCIADA;;;;;;;;
300205;ASSOCIAÇÃO MENINO DEUS;67984864000166;Rua;CORONEL EUCLIDES MACHADO;158   ;;JARDIM DAS GRAÇAS;2713000;SILVIA REGINA DE CAMPOS BRANDÃO;167;2017-08-19 00:00:00.000;;CREDENCIADA;;;;;;;;
300206;ASS MENSAGEIROS DO SECULO XXI;09316272000170;Rua;PEDREGULHO;133   ;;VILA BANCÁRIA MUNHOZ;2757110;;;;;CREDENCIADA;;;;;;;;
300207;ASS METODISTA DE ACAO SOCIAL - AMAS MOOCA;06264961000190;Rua;JUVENAL PARADA;319   ;;MOOCA;3167060;ALDENICE ALVES DOS SANTOS;128;2017-10-26 00:00:00.000;;CREDENCIADA;;;;;;;;
300208;ASS DOS MORADORES DO CONJUNTO HABITACIONAL SAO JUDAS TADEU;00746385000130;Rua;SUZANA DE MELO;364   ;;VILA PROGRESSO (ZONA LESTE);8245160;;93;2014-11-17 00:00:00.000;;CREDENCIADA;;;;;;;;
