Nº Protocolo;Código DRE;DRE;Processo SIMPROC;Código Instituição;Instituição;CNPJ;Código Escola;Unidade Conveniada;Vagas Contratadas;Vagas Berçário Contratadas;Total Mensal;Despesa de Instalação;IPTU;Data Início;Data Término;Situação Convênio;Data Lavratura do Termo;Data Lavratura do Aditamento;Data de Atualização;Data Solicitação Convênio
58;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2011-0.352.525-1;300416;INSTITUICAO BENEFICENTE PERSIO GUIMARAES AZEVEDO;62.440.094/0001-77;400.633;CEI INDIR - JARDIM JAQUELINE;161;63;91.937,39;;;01/08/2014;31/12/2016;Encerrado;01/02/2012;28/07/2014;18/01/2017 07:55;24/03/2014
2502;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.283.233-6;300508;OBRA ASSISTENCIAL JESUS MENINO;01.309.378/0001-34;400.413;CEI INDIR - JOAO XXIII, PAPA;123;27;73.605,30;;;08/12/2015;07/06/2018;Aprovado;08/12/2015;13/01/2016;14/07/2017 13:47;08/12/2015
36;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2011-0.210.672-7;300508;OBRA ASSISTENCIAL JESUS MENINO;01.309.378/0001-34;400.413;CEI INDIR - JOAO XXIII, PAPA;99;99;74.267,79;;;01/03/2014;31/08/2016;Encerrado;11/09/2012;29/01/2015;08/12/2015 10:20;20/03/2014
1529;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.012-0;800023;LAR DO ALVORECER CRISTÃO;51.221.760/0001-60;400.408;CEI INDIR - LAR DO ALVORECER CRISTAO;136;49;83.898,70;;;01/07/2015;31/12/2017;Aprovado;26/12/2012;26/12/2012;13/09/2017 12:54;30/12/2014
46;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.031-6;300376;CONJUNTO ASSISTENCIAL NOSSA SENHORA DA CONCEICAO APARECIDA;62.481.064/0001-09;400.306;CEI INDIR - MAE DO SALVADOR;176;66;104.394,06;;;01/07/2015;31/12/2017;Aprovado;21/12/2012;21/12/2012;19/06/2017 16:49;20/03/2014
882017;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2017-0.112.296-7;300428;CRUZADA PRO INFANCIA;60.915.790/0001-67;400.307;CEI INDIR - MARIA DE LOURDES FERRARINI;107;40;69.334,17;;;18/08/2017;17/08/2022;Aprovado;18/08/2017;;31/08/2017 15:17;18/08/2017
57;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.157.995-0;300428;CRUZADA PRO INFANCIA;60.915.790/0001-67;400.307;CEI INDIR - MARIA DE LOURDES FERRARINI;107;40;69.334,17;;;19/02/2015;18/08/2017;Encerrado;17/08/2012;29/09/2016;06/09/2017 11:00;24/03/2014
892017;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2017-0.112.299-1;300428;CRUZADA PRO INFANCIA;60.915.790/0001-67;306.562;CEI INDIR - MARIA TEREZA DE MACEDO COSTA;207;71;118.475,54;;;18/08/2017;17/08/2022;Aprovado;18/08/2017;;31/08/2017 15:07;18/08/2017
55;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.158.368-8;300428;CRUZADA PRO INFANCIA;60.915.790/0001-67;306.562;CEI INDIR - MARIA TEREZA DE MACEDO COSTA;207;71;118.475,54;;;19/02/2015;18/08/2017;Encerrado;17/08/2012;28/10/2016;06/09/2017 10:58;24/03/2014
3748;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2016-0.157.952-3;800036;ASSOCIAÇÃO NOITE ENCANTADA;00.209.352/0001-51;400.412;CEI INDIR - NOITE ENCANTADA VII;69;14;45.555,20;;;18/07/2016;17/01/2019;Aprovado;18/07/2016;18/07/2016;15/09/2017 11:09;19/07/2016
2478;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.272.310-3;300326;CENTRO SOCIAL SANTO DIAS;58.409.871/0001-43;400.332;CEI INDIR - NOSSA SENHORA ASSUNCAO;70;22;47.812,16;;;23/11/2015;22/05/2018;Aprovado;23/11/2015;23/11/2015;13/07/2017 16:47;23/11/2015
29;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2011-0.112.396-2;300326;CENTRO SOCIAL SANTO DIAS;58.409.871/0001-43;400.332;CEI INDIR - NOSSA SENHORA ASSUNCAO;70;;38.972,00;;;01/01/2014;30/06/2016;Encerrado;18/12/2013;19/12/2014;23/11/2015 16:47;20/03/2014
52;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.046-4;300038;ASS BENEFICENTE CAMINHO DE DAMASCO;01.902.672/0001-55;400.412;CEI INDIR - NOVA ERA, MODULO I;69;27;41.241,00;;;01/07/2015;31/12/2017;Encerrado;27/12/2012;30/06/2015;19/07/2016 11:56;24/03/2014
27;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.053-7;300038;ASS BENEFICENTE CAMINHO DE DAMASCO;01.902.672/0001-55;306.206;CEI INDIR - NOVA ERA, MODULO II;69;27;41.241,00;;;01/07/2015;31/12/2017;Encerrado;27/12/2012;30/06/2015;20/07/2016 10:14;20/03/2014
34;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.105-3;300113;ASS CRIANCA BRASIL;58.373.234/0001-64;400.415;CEI INDIR - RECANTO DA ALEGRIA III;136;45;83.016,78;;;01/07/2015;31/12/2017;Aprovado;28/12/2012;21/10/2016;11/01/2017 10:57;20/03/2014
3750;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2016-0.157.952-3;300113;ASS CRIANCA BRASIL;58.373.234/0001-64;306.206;CEI INDIR - RECANTO DA ALEGRIA V;65;18;44.464,64;;;18/07/2016;17/01/2019;Aprovado;18/07/2016;18/07/2016;24/02/2017 18:42;20/07/2016
3747;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2016-0.156.672-3;300806;INSTITUTO LAETARE DE EDUCACAO, CULTURA E CIDADANIA;09.636.869/0001-00;400.665;CEI INDIR - SANTA ROSA III;67;18;45.450,88;;;18/07/2016;17/01/2019;Aprovado;18/07/2016;18/07/2016;13/07/2017 16:41;19/07/2016
32;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2013-0.066.265-0;300549;PROVINCIA CARMELITANA DE SANTO ELIAS;33.621.319/0008-60;400.370;CEI INDIR - SANTA TEREZA DE JESUS;101;18;61.769,15;;;26/07/2015;25/01/2018;Aprovado;03/04/2013;03/04/2013;03/08/2017 15:42;20/03/2014
2051;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.176.763-8;300252;CARITAS DIOCESANA DE CAMPO LIMPO;64.033.061/0001-38;400.808;CEI INDIR - SAO BENEDITO;153;80;97.851,14;;;25/07/2015;24/01/2018;Aprovado;25/07/2015;25/07/2015;17/08/2017 15:27;04/08/2015
24;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.128-2;300582;SOCIEDADE BENEFICENTE SAO LUIZ GONZAGA;69.273.605/0001-52;400.416;CEI INDIR - SAO LUIS GONZAGA;223;71;125.174,42;;;01/07/2015;31/12/2017;Aprovado;28/12/2012;01/10/2015;29/07/2016 16:29;20/03/2014
2559;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.299.181-7;300126;ASS CULTURAL VITTA;07.246.378/0001-19;306.192;CEI INDIR - VILA DALVA, CEI;127;27;75.280,02;;;13/01/2016;12/07/2018;Aprovado;13/01/2016;13/01/2016;13/07/2017 14:49;13/01/2016
1520;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2013-0.230.417-4;300126;ASS CULTURAL VITTA;07.246.378/0001-19;306.192;CEI INDIR - VILA DALVA, CEI;129;18;67.248,60;;;19/10/2013;18/04/2016;Encerrado;18/10/2013;;13/01/2016 11:03;29/12/2014
2270;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.241.005-9;800036;ASSOCIAÇÃO NOITE ENCANTADA;00.209.352/0001-51;;CEI NOITE ENCANTADA V;196;123;0;19.000,00;;30/10/2015;29/04/2018;Encerrado;21/10/2015;;19/11/2015 15:57;07/10/2015
2080;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.174.215-5;300921;CENTRO EDUCACIONAL DE DESENVOLV JUVENIL E INFANTIL CEDEJI;13.222.705/0001-03;308.451;CR.P.CONV - ALECRIM;280;122;160.283,66;11.760,00;198,5;25/07/2015;24/01/2018;Aprovado;25/07/2015;21/06/2017;04/08/2017 13:59;05/08/2015
2138;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.186.490-0;800070;ASSOCIAÇÃO BENEFICENTE ALEGRIA DE APRENDER;18.249.301/0001-19;308.408;CR.P.CONV - ALEGRIA DE APRENDER;103;54;70.611,25;7.700,00;393,37;25/07/2015;24/01/2018;Aprovado;25/07/2015;19/06/2017;04/08/2017 10:47;07/08/2015
2719;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2016-0.124.684-2;300707;GREMIO RECREATIVO CULTURAL E DUCACIONAL RUBRO VERDE;67.843.045/0001-07;306.507;CR.P.CONV - BELEZINHA PRIMAVERA;97;36;63.928,15;5.820,50;639,02;20/06/2016;19/12/2018;Aprovado;20/06/2016;14/06/2017;14/07/2017 13:19;21/06/2016
572017;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2017-0.105.050-8;300464;LIGA DAS SENHORAS CATOLICAS DE SAO PAULO;60.597.044/0001-72;307.815;CR.P.CONV - CASA DA INFANCIA DO MENINO JESUS;280;127;161.386,06;;;31/07/2017;30/07/2022;Aprovado;31/07/2017;;04/08/2017 10:32;31/07/2017
910;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.144.750-6;300464;LIGA DAS SENHORAS CATOLICAS DE SAO PAULO;60.597.044/0001-72;307.815;CR.P.CONV - CASA DA INFANCIA DO MENINO JESUS;281;128;162.025,22;;;01/02/2015;30/07/2017;Encerrado;01/08/2012;20/01/2016;01/08/2017 11:35;31/07/2014
39;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.281.907-5;300255;CASA DA PEQUENA IVETE ASSOCIACAO ASSISTENCIAL;44.694.297/0001-08;306.191;CR.P.CONV - CASA DA PEQUENA IVETE;66;18;44.957,76;;;01/07/2015;31/12/2017;Aprovado;28/12/2012;30/06/2015;15/05/2017 14:08;20/03/2014
1570;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.125.936-0;300329;NUCLEO ASSISTENCIAL IRMAO ALFREDO;50.866.490/0001-81;306.727;CR.P.CONV - COEPE I;129;34;77.660,74;;;02/12/2014;01/06/2017;Encerrado;01/06/2012;01/12/2014;28/04/2016 09:34;20/01/2015
20170060;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2017-0.041.969-9;300252;CARITAS DIOCESANA DE CAMPO LIMPO;64.033.061/0001-38;306.211;CR.P.CONV - DOM EMILIO PIGNOLI;194;;97.378,62;13.167,00;1.148,71;28/04/2017;27/10/2019;Aprovado;28/04/2017;28/04/2017;17/08/2017 15:24;27/04/2017
19;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.048.707-5;300252;CARITAS DIOCESANA DE CAMPO LIMPO;64.033.061/0001-38;306.211;CR.P.CONV - DOM EMILIO PIGNOLI;194;;97.378,62;18.000,00;1.148,71;29/10/2014;29/04/2017;Encerrado;27/04/2012;27/04/2012;16/05/2017 09:07;19/03/2014
44;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.281.934-2;300064;ASS BARAO DE SOUZA QUEIROS DE PROTECAO A INFANCIA E A JUVENT;60.598.539/0001-16;306.196;CR.P.CONV - DONA ANA ROSA, INST;300;82;159.838,06;;;01/07/2015;31/12/2017;Aprovado;26/12/2012;10/10/2016;06/02/2017 09:37;20/03/2014
2667;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2016-0.095.167-4;800093;ASSOCIAÇÃO PAIS E FILHOS;11.694.582/0001-70;308.673;CR.P.CONV - FAZENDO ARTE;80;32;54.948,16;5.950,00;;31/05/2016;29/11/2018;Aprovado;30/05/2016;30/05/2016;14/07/2017 13:24;06/05/2016
45;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.281.948-2;300421;CRECHE FRATERNIDADE MARIA DE NAZARE;57.277.808/0001-38;306.194;CR.P.CONV - FRATERNIDADE MARIA DE NAZARE;73;24;49.732,48;;;01/07/2015;31/12/2017;Aprovado;26/12/2012;01/11/2016;10/01/2017 14:54;20/03/2014
1974;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.030.335-2;300126;ASS CULTURAL VITTA;07.246.378/0001-19;307.726;CR.P.CONV - GARATUJA, CEI;60;9;40.014,72;5.113,75;;08/06/2015;07/12/2017;Aprovado;08/06/2015;31/07/2017;31/07/2017 13:31;30/06/2015
48;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2011-0.333.882-6;300126;ASS CULTURAL VITTA;07.246.378/0001-19;307.726;CR.P.CONV - GARATUJA, CEI;63;;33.972,00;6.313,65;;24/07/2014;31/12/2014;Encerrado;24/01/2012;23/07/2014;02/02/2015 12:06;20/03/2014
1522;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.281.957-1;300639;UNIAO DOS MORADORES DA FAVELA DO JARDIM COLOMBO;58.933.391/0001-87;306.496;CR.P.CONV - GIRASSOL CRECHE;115;27;66.120,75;;;21/07/2016;20/01/2018;Encerrado;28/01/2013;15/07/2016;13/03/2017 11:42;29/12/2014
917;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2013-0.066.255-3;300464;LIGA DAS SENHORAS CATOLICAS DE SAO PAULO;60.597.044/0001-72;306.910;CR.P.CONV - IPE;150;41;87.996,38;;;26/07/2015;25/01/2018;Aprovado;03/04/2013;21/10/2016;17/08/2017 16:07;31/07/2014
911;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2008-0.017.734-2;300464;LIGA DAS SENHORAS CATOLICAS DE SAO PAULO;60.597.044/0001-72;306.910;CR.P.CONV - IPE;120;25;53.340,00;;;03/10/2010;02/04/2013;Encerrado;03/04/2008;01/10/2010;19/01/2015 11:39;31/07/2014
40;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.110-0;300428;CRUZADA PRO INFANCIA;60.915.790/0001-67;306.219;CR.P.CONV - IZABEL MENDES DE CASTRO, R.I.;157;63;95.777,70;;;01/07/2015;31/12/2017;Aprovado;28/12/2012;18/10/2016;15/08/2017 12:29;20/03/2014
1557;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.281.984-9;300412;CRECHE DE JESUS MENINO;52.633.286/0001-46;306.197;CR.P.CONV - JESUS MENINO;56;;35.495,04;;;01/07/2015;31/12/2017;Aprovado;27/12/2012;27/12/2012;13/07/2017 16:44;15/01/2015
73;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2007-0.344.282-8;300412;CRECHE DE JESUS MENINO;52.633.286/0001-46;306.197;CR.P.CONV - JESUS MENINO;60;;0;;;01/01/2008;30/06/2010;Encerrado;28/12/2007;;15/01/2015 13:40;24/03/2014
907;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2007-0.358.760-5;300464;LIGA DAS SENHORAS CATOLICAS DE SAO PAULO;60.597.044/0001-72;306.897;CR.P.CONV - JOAO DE BARRO;136;;54.806,00;;;01/07/2010;31/12/2012;Encerrado;28/12/2007;12/12/2011;09/01/2015 11:17;31/07/2014
31;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.281.993-8;300464;LIGA DAS SENHORAS CATOLICAS DE SAO PAULO;60.597.044/0001-72;306.897;CR.P.CONV - JOAO DE BARRO;140;18;78.738,54;;;01/07/2015;30/12/2017;Aprovado;28/12/2012;21/10/2016;17/08/2017 16:12;20/03/2014
37;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.281.942-3;300517;MOSTEIRO SAO GERALDO DE SAO PAULO;61.697.678/0001-60;306.193;CR.P.CONV - JOSE GASPAR, D.;158;32;89.361,50;;;01/07/2015;31/12/2017;Aprovado;28/12/2012;16/06/2015;07/08/2017 07:49;20/03/2014
49;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.009-0;300201;ASS LAR CRIANCA FELIZ;50.253.590/0001-32;306.198;CR.P.CONV - LAR CRIANCA FELIZ;204;82;119.644,78;;;01/07/2015;31/12/2017;Aprovado;28/12/2012;28/12/2012;02/05/2017 14:13;21/03/2014
845;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2007-0.344.292-5;300199;ASSOCIACAO SANTO AGOSTINHO;62.272.497/0001-54;306.199;CR.P.CONV - LAR INFANTIL - ASA;178;47;75.548,00;;;01/07/2010;31/12/2012;Encerrado;28/06/2010;;19/01/2015 11:57;29/07/2014
47;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.017-0;300199;ASSOCIACAO SANTO AGOSTINHO;62.272.497/0001-54;306.199;CR.P.CONV - LAR INFANTIL - ASA;178;47;101.042,30;;;01/07/2015;30/12/2017;Aprovado;28/12/2012;28/12/2012;17/05/2017 10:14;20/03/2014
15;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.024-3;300177;ASS FRATERNIDADE ASSISTENCIAL RIO PEQUENO;51.964.195/0001-20;306.201;CR.P.CONV - LAR PAULO DE TARSO;122;32;74.289,02;;;01/07/2015;31/12/2017;Aprovado;26/12/2012;26/12/2012;28/03/2017 12:02;19/03/2014
2088;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.133.979-2;800066;NUCLEO ASSISTENCIAL AFRÂNIO HINGEL PINTO;00.110.796/0001-35;308.347;CR.P.CONV - LEON ALEXANDR;65;16;44.023,68;;;17/05/2015;16/11/2017;Aprovado;17/07/2015;17/07/2015;28/03/2017 12:00;05/08/2015
4837;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2016-0.216.715-6;300252;CARITAS DIOCESANA DE CAMPO LIMPO;64.033.061/0001-38;307.101;CR.P.CONV - MAE DE DEUS;106;24;65.354,08;14.995,20;;27/11/2016;26/05/2019;Aprovado;25/11/2016;25/11/2016;17/08/2017 15:19;28/11/2016
65;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2008-0.215.724-2;300252;CARITAS DIOCESANA DE CAMPO LIMPO;64.033.061/0001-38;307.101;CR.P.CONV - MAE DE DEUS;103;103;53.751,50;8.750,00;;27/05/2009;26/11/2011;Encerrado;27/05/2009;;16/01/2015 09:47;24/03/2014
17;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2011-0.247.722-9;300252;CARITAS DIOCESANA DE CAMPO LIMPO;64.033.061/0001-38;307.101;CR.P.CONV - MAE DE DEUS;96;48;62.379,36;14.995,20;;27/05/2014;26/11/2016;Encerrado;25/11/2011;22/12/2015;28/11/2016 10:54;19/03/2014
20;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2013-0.213.708-1;300936;GREMIO RECREATIVO CULTURAL EDUCACIONAL E SOCIAL MARAVILHA;57.284.994/0001-32;307.992;CR.P.CONV - MARAVILHA I;156;132;100.303,20;18.000,00;;19/09/2013;19/03/2016;Encerrado;19/09/2013;;31/07/2015 11:03;19/03/2014
26;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.042-1;300153;ASS DE CRECHES MARIA DE NAZARE;51.536.662/0001-11;306.202;CR.P.CONV - MARIA DE NAZARE;133;38;80.217,38;;;01/07/2015;30/12/2017;Aprovado;27/12/2013;27/12/2013;03/04/2017 14:56;20/03/2014
1945;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.033.663-3;800036;ASSOCIAÇÃO NOITE ENCANTADA;00.209.352/0001-51;308.302;CR.P.CONV - NOITE ENCANTADA I;123;41;76.692,02;5.600,00;816,12;25/05/2015;24/11/2017;Aprovado;25/05/2015;14/06/2017;15/09/2017 11:17;28/05/2015
2028;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.176.760-3;800036;ASSOCIAÇÃO NOITE ENCANTADA;00.209.352/0001-51;308.446;CR.P.CONV - NOITE ENCANTADA II;118;57;78.058,84;6.300,00;678,1;25/07/2015;24/01/2018;Aprovado;25/07/2015;14/06/2017;15/09/2017 11:15;30/07/2015
2030;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.171.376-7;800036;ASSOCIAÇÃO NOITE ENCANTADA;00.209.352/0001-51;308.447;CR.P.CONV - NOITE ENCANTADA III;134;46;82.399,90;5.950,00;812,1;26/07/2015;25/01/2018;Aprovado;26/07/2015;14/06/2017;15/09/2017 11:13;30/07/2015
2029;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.187.594-5;800036;ASSOCIAÇÃO NOITE ENCANTADA;00.209.352/0001-51;308.448;CR.P.CONV - NOITE ENCANTADA IV;97;16;59.518,55;4.550,00;648,89;26/07/2015;25/01/2018;Aprovado;25/07/2015;14/06/2017;15/09/2017 11:11;30/07/2015
2669;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2016-0.086.454-2;800036;ASSOCIAÇÃO NOITE ENCANTADA;00.209.352/0001-51;308.666;CR.P.CONV - NOITE ENCANTADA V;185;87;112.792,26;11.900,00;;31/05/2016;29/11/2018;Aprovado;30/05/2016;14/06/2017;15/09/2017 11:07;06/05/2016
2334;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.254.964-2;800036;ASSOCIAÇÃO NOITE ENCANTADA;00.209.352/0001-51;308.493;CR.P.CONV - NOITE ENCANTADA VI;99;50;67.919,69;3.500,00;953,66;30/10/2015;29/04/2018;Aprovado;30/10/2015;14/06/2017;15/09/2017 11:01;21/10/2015
14;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.337.874-9;300252;CARITAS DIOCESANA DE CAMPO LIMPO;64.033.061/0001-38;400.470;CR.P.CONV - NOSSA SENHORA DE FATIMA;70;27;48.914,56;4.928,50;956,32;01/07/2015;31/12/2017;Aprovado;28/12/2012;28/12/2012;17/08/2017 15:21;19/03/2014
28;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.022-7;300520;MOVIMENTO ASSISTENCIAL DO BUTANTA;47.242.938/0001-81;306.200;CR.P.CONV - NOSSA SENHORA DOS POBRES;72;18;47.916,48;;;01/07/2015;30/12/2017;Aprovado;26/12/2013;26/12/2013;15/08/2017 12:09;20/03/2014
2269;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.241.035-0;800093;ASSOCIAÇÃO PAIS E FILHOS;11.694.582/0001-70;308.542;CR.P.CONV - PAIS E FILHOS;94;45;64.555,24;5.950,00;;30/10/2015;29/04/2018;Aprovado;21/10/2015;21/10/2015;14/07/2017 13:22;07/10/2015
1518;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2013-0.184.094-3;300126;ASS CULTURAL VITTA;07.246.378/0001-19;306.188;CR.P.CONV - PARAISOPOLIS;177;45;90.879,00;18.000,00;;01/09/2013;29/02/2016;Encerrado;30/08/2013;;01/03/2016 14:10;29/12/2014
931;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2007-0.358.769-9;300464;LIGA DAS SENHORAS CATOLICAS DE SAO PAULO;60.597.044/0001-72;306.892;CR.P.CONV - PAU BRASIL;103;18;46.408,00;;;01/07/2010;31/01/2013;Encerrado;28/12/2007;28/11/2011;16/01/2015 09:37;31/07/2014
