Nº Protocolo;Código DRE;DRE;Processo SIMPROC;Código Instituição;Instituição;Código Escola;Unidade Conveniada;Vagas Contratadas;Vagas Berçário Contratadas;Total Mensal;Despesa de Instalação;IPTU;Data Início;Data Término;Situação Convênio;Data Lavratura do Termo;Data Lavratura do Aditamento
45;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.281.948-2;300.421;CRECHE FRATERNIDADE MARIA DE NAZARE;306.194;CR.P.CONV - FRATERNIDADE MARIA DE NAZARE;69;23;44.849,09;;;01/07/2015;31/12/2017;Aprovado;26/12/2012;14/12/2015
1974;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.030.335-2;300.126;ASS CULTURAL VITTA;307.726;CR.P.CONV - GARATUJA, CEI;63;;37.273,83;6.589,39;;08/06/2015;07/12/2017;Aprovado;08/06/2015;08/06/2015
1522;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.281.957-1;300.639;UNIAO DOS MORADORES DA FAVELA DO JARDIM COLOMBO;306.496;CR.P.CONV - GIRASSOL CRECHE;115;27;66.120,75;;;21/07/2016;20/01/2018;Aprovado;28/01/2013;15/07/2016
917;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2013-0.066.255-3;300.464;LIGA DAS SENHORAS CATOLICAS DE SAO PAULO;306.910;CR.P.CONV - IPE;145;86;90.401,55;;;26/07/2015;25/01/2018;Aprovado;03/04/2013;22/12/2015
40;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.110-0;300.428;CRUZADA PRO INFANCIA;306.219;CR.P.CONV - IZABEL MENDES DE CASTRO, R.I.;152;54;86.510,48;;;01/07/2015;31/12/2017;Aprovado;28/12/2012;11/06/2015
1557;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.281.984-9;300.412;CRECHE DE JESUS MENINO;306.197;CR.P.CONV - JESUS MENINO;56;;33.486,32;;;01/07/2015;31/12/2017;Aprovado;27/12/2012;27/12/2012
31;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.281.993-8;300.464;LIGA DAS SENHORAS CATOLICAS DE SAO PAULO;306.897;CR.P.CONV - JOAO DE BARRO;154;18;79.812,46;;;01/07/2015;30/12/2017;Aprovado;28/12/2012;13/06/2015
37;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.281.942-3;300.517;MOSTEIRO SAO GERALDO DE SAO PAULO;306.193;CR.P.CONV - JOSE GASPAR, D.;158;32;84.304,42;;;01/07/2015;31/12/2017;Aprovado;28/12/2012;16/06/2015
49;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.009-0;300.201;ASS LAR CRIANCA FELIZ;306.198;CR.P.CONV - LAR CRIANCA FELIZ;208;85;115.077,92;;;01/07/2015;31/12/2017;Aprovado;28/12/2012;22/12/2015
47;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.017-0;300.199;ASSOCIACAO SANTO AGOSTINHO;306.199;CR.P.CONV - LAR INFANTIL - ASA;178;47;95.324,22;;;01/07/2015;30/12/2017;Aprovado;28/12/2012;11/06/2015
15;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.024-3;300.177;ASS FRATERNIDADE ASSISTENCIAL RIO PEQUENO;306.201;CR.P.CONV - LAR PAULO DE TARSO;122;32;70.084,78;;;01/07/2015;31/12/2017;Aprovado;26/12/2012;16/12/2015
2088;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.133.979-2;800.066;NUCLEO ASSISTENCIAL AFRÂNIO HINGEL PINTO;308.347;CR.P.CONV - LEON ALEXANDR;70;9;42.402,30;;;17/05/2015;16/11/2017;Aprovado;17/07/2015;08/03/2016
17;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2011-0.247.722-9;300.252;CARITAS DIOCESANA DE CAMPO LIMPO;307.101;CR.P.CONV - MAE DE DEUS;96;48;62.379,36;14.995,20;;27/05/2014;26/11/2016;Aprovado;25/11/2011;22/12/2015
26;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.042-1;300.153;ASS DE CRECHES MARIA DE NAZARE;306.202;CR.P.CONV - MARIA DE NAZARE;133;38;75.677,67;;;01/07/2015;30/12/2017;Aprovado;27/12/2013;30/06/2015
1945;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.033.663-3;800.036;ASSOCIAÇÃO NOITE ENCANTADA;308.302;CR.P.CONV - NOITE ENCANTADA I;117;68;75.502,37;8.000,00;674,49;25/05/2015;24/11/2017;Aprovado;25/05/2015;25/05/2015
2028;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.176.760-3;800.036;ASSOCIAÇÃO NOITE ENCANTADA;308.446;CR.P.CONV - NOITE ENCANTADA II;113;64;72.963,13;9.000,00;560,42;25/07/2015;24/01/2018;Aprovado;25/07/2015;25/07/2015
2030;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.171.376-7;800.036;ASSOCIAÇÃO NOITE ENCANTADA;308.447;CR.P.CONV - NOITE ENCANTADA III;118;82;78.841,18;8.500,00;671,17;26/07/2015;25/01/2018;Aprovado;26/07/2015;26/07/2015
2029;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.187.594-5;800.036;ASSOCIAÇÃO NOITE ENCANTADA;308.448;CR.P.CONV - NOITE ENCANTADA IV;97;16;56.150,17;6.500,00;536,28;26/07/2015;25/01/2018;Aprovado;25/07/2015;12/01/2016
2669;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2016-0.086.454-2;800.036;ASSOCIAÇÃO NOITE ENCANTADA;308.666;CR.P.CONV - NOITE ENCANTADA V;185;87;106.409,15;17.000,00;;31/05/2016;29/11/2018;Aprovado;30/05/2016;30/05/2016
2334;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.254.964-2;800.036;ASSOCIAÇÃO NOITE ENCANTADA;308.493;CR.P.CONV - NOITE ENCANTADA VI;109;23;62.727,89;5.000,00;788,16;30/10/2015;29/04/2018;Aprovado;30/10/2015;30/10/2015
14;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.337.874-9;300.252;CARITAS DIOCESANA DE CAMPO LIMPO;400.470;CR.P.CONV - NOSSA SENHORA DE FATIMA;60;;35.878,20;7.040,72;723,13;01/07/2015;31/12/2017;Aprovado;28/12/2012;28/12/2012
28;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.022-7;300.520;MOVIMENTO ASSISTENCIAL DO BUTANTA;306.200;CR.P.CONV - NOSSA SENHORA DOS POBRES;72;18;45.204,72;;;01/07/2015;30/12/2017;Aprovado;26/12/2013;19/06/2015
2269;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.241.035-0;800.093;ASSOCIAÇÃO PAIS E FILHOS;308.542;CR.P.CONV - PAIS E FILHOS;88;71;63.672,08;8.500,00;;30/10/2015;29/04/2018;Aprovado;21/10/2015;
30;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.056-1;300.464;LIGA DAS SENHORAS CATOLICAS DE SAO PAULO;306.892;CR.P.CONV - PAU BRASIL;106;45;66.023,46;;;01/07/2015;30/12/2017;Aprovado;28/12/2012;05/01/2016
2668;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2016-0.101.517-4;800.207;INSTITUTO JULIA MELO;308.669;CR.P.CONV - PEQUENOS DO BUTANTA;127;72;80.379,73;15.000,00;413,73;31/05/2016;29/11/2018;Aprovado;30/05/2016;
33;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.059-6;300.464;LIGA DAS SENHORAS CATOLICAS DE SAO PAULO;306.207;CR.P.CONV - PRIMAVERA;120;;62.638,80;;;01/07/2015;31/12/2017;Aprovado;28/12/2012;13/06/2015
2089;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.030.586-0;301.016;ACAO SOCIAL ESTRELA DA MANHA;308.380;CR.P.CONV - PRIMEIRO LAPIS;70;32;47.186,30;7.000,00;445;17/07/2015;16/01/2018;Aprovado;17/07/2015;23/12/2015
2670;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2016-0.093.644-6;800.093;ASSOCIAÇÃO PAIS E FILHOS;308.672;CR.P.CONV - PRIMEIROS CAMINHOS;81;32;52.303,61;8.500,00;;31/05/2016;29/11/2018;Aprovado;30/05/2016;30/05/2016
16;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.072-3;300.464;LIGA DAS SENHORAS CATOLICAS DE SAO PAULO;306.208;CR.P.CONV - PRIMEIROS PASSOS;144;72;87.094,56;;;01/07/2015;31/12/2017;Aprovado;28/12/2012;13/06/2015
18;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.088-0;300.113;ASS CRIANCA BRASIL;306.209;CR.P.CONV - RECANTO DA ALEGRIA I;101;31;60.977,41;;;01/07/2015;31/12/2017;Aprovado;28/12/2012;23/12/2015
22;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.099-5;300.113;ASS CRIANCA BRASIL;306.210;CR.P.CONV - RECANTO DA ALEGRIA II;103;;55.383,03;9.350,00;1.644,70;01/07/2015;31/12/2017;Aprovado;30/12/2013;09/11/2015
2035;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.162.461-6;300.113;ASS CRIANCA BRASIL;307.992;CR.P.CONV - RECANTO DA ALEGRIA IV;159;73;93.227,41;20.000,00;;13/07/2015;12/01/2018;Aprovado;13/07/2015;04/03/2016
2710;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2016-0.102.980-9;300.908;INSTITUTO MARIA CLEUSA DE ACAO SOCIAL;308.144;CR.P.CONV - SABER VIVER I;131;65;80.503,69;10.750,00;146,49;01/07/2016;31/12/2018;Aprovado;16/06/2016;
2711;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2016-0.107.667-0;300.908;INSTITUTO MARIA CLEUSA DE ACAO SOCIAL;308.231;CR.P.CONV - SABER VIVER II;106;61;69.351,46;8.800,00;365,34;01/07/2016;31/12/2018;Aprovado;16/06/2016;
2712;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2016-0.107.657-2;300.908;INSTITUTO MARIA CLEUSA DE ACAO SOCIAL;308.556;CR.P.CONV - SABER VIVER III;120;71;77.406,80;17.000,00;415,12;01/07/2016;31/12/2018;Aprovado;16/06/2016;
1943;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2014-0.321.700-5;800.035;INSTITUTO DE DESENVOLVIMENTO DE ENERGIA ALTERNATIVA;308.298;CR.P.CONV - SANTA RITA DE CASSIA;139;68;84.287,61;19.369,67;;25/05/2015;24/11/2017;Aprovado;25/05/2015;25/05/2015
35;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.144.397-7;300.806;INSTITUTO LAETARE DE EDUCACAO, CULTURA E CIDADANIA;307.821;CR.P.CONV - SANTA ROSA;208;36;104.885,92;21.390,00;;14/02/2015;14/08/2017;Aprovado;14/08/2012;17/04/2015
2050;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2015-0.176.639-9;300.806;INSTITUTO LAETARE DE EDUCACAO, CULTURA E CIDADANIA;308.467;CR.P.CONV - SANTA ROSA II;124;26;69.626,76;14.300,00;821,96;25/07/2015;24/01/2018;Aprovado;25/07/2015;19/02/2016
2662;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2016-0.076.932-9;300.252;CARITAS DIOCESANA DE CAMPO LIMPO;308.662;CR.P.CONV - SANTA TEREZINHA;117;32;68.014,37;14.500,00;;17/05/2016;16/11/2018;Aprovado;17/02/2016;
25;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.118-5;300.199;ASSOCIACAO SANTO AGOSTINHO;306.213;CR.P.CONV - SANTO AGOSTINHO - ASA;180;48;96.322,20;;;01/07/2015;30/12/2017;Aprovado;28/12/2012;11/06/2015
38;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2013-0.066.261-8;300.464;LIGA DAS SENHORAS CATOLICAS DE SAO PAULO;306.924;CR.P.CONV - SAO CESARIO;146;86;90.796,54;;;26/07/2015;25/01/2018;Aprovado;03/04/2013;22/12/2015
41;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.123-1;300.199;ASSOCIACAO SANTO AGOSTINHO;306.215;CR.P.CONV - SAO FRANCISCO - ASA;108;45;66.877,08;;;01/07/2015;31/12/2017;Aprovado;28/12/2012;11/06/2015
1911;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.048.691-5;300.252;CARITAS DIOCESANA DE CAMPO LIMPO;306.798;CR.P.CONV - SAO FRANCISCO DE ASSIS;156;54;88.090,44;7.000,00;;29/10/2014;28/04/2017;Aprovado;27/04/2012;28/10/2014
43;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2012-0.282.135-5;300.290;CENTRO COMUNITARIO E CRECHE SINHAZINHA MEIRELLES;306.186;CR.P.CONV - SINHAZINHA MEIRELLES, CENTRO COMUNITARIO;272;101;143.685,28;;;01/07/2015;31/12/2017;Aprovado;28/12/2012;20/01/2016
2661;108.100;DIRETORIA REGIONAL DE EDUCACAO BUTANTA;2016-0.037.480-4;800.035;INSTITUTO DE DESENVOLVIMENTO DE ENERGIA ALTERNATIVA;308.665;CR.P.CONV - VOVO ANA;80;32;51.838,40;12.000,00;;17/05/2016;16/11/2018;Aprovado;17/05/2016;17/05/2016
132;108.200;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;2012-0.253.433-0;300.416;INSTITUICAO BENEFICENTE PERSIO GUIMARAES AZEVEDO;400.383;CEI INDIR - ADAIL TINI DE ARAUJO;179;45;95.303,21;;;01/07/2015;27/12/2017;Aprovado;28/12/2012;28/12/2012
509;108.200;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;2013-0.050.936-4;300.707;GREMIO RECREATIVO CULTURAL E DUCACIONAL RUBRO VERDE;400.734;CEI INDIR - BELEZINHA;190;55;101.728,10;;;17/07/2015;16/01/2018;Aprovado;14/05/2013;20/07/2015
1607;108.200;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;2013-0.021.124-1;301.037;ASS UIRAPURU;400.759;CEI INDIR - CAMPO LIMPO IV;280;75;141.437,20;;;24/07/2015;23/01/2018;Aprovado;31/01/2014;24/07/2017
1994;108.200;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;2015-0.108.633-9;800.045;INSTITUTO CASA DA ÁRVORE - RAÍZES DA VIDA;400.760;CEI INDIR - CAMPO LIMPO V;165;45;89.773,35;;;24/07/2015;23/01/2018;Aprovado;24/07/2015;24/07/2015
276;108.200;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;2013-0.281.553-5;300.170;ASS DO ABRIGO NOSSA SRA RAINHA DA PAZ DO JD FIM DE SEMANA;400.792;CEI INDIR - CAPAO REDONDO I;216;69;114.909,84;;;28/05/2016;27/11/2018;Aprovado;29/11/2013;28/05/2016
264;108.200;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;2015-0.161.006-2;300.664;ASS CEDRO DO LIBANO DE PROTECAO A INFANCIA;400.741;CEI INDIR - CEDRINHO V;153;32;82.329,47;;;21/07/2015;16/01/2018;Aprovado;19/04/2013;21/07/2015
3757;108.200;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;2016-0.130.897-0;300.664;ASS CEDRO DO LIBANO DE PROTECAO A INFANCIA;307.558;CEI INDIR - CEDRO V - PARQUE ALVES DE LIMA;70;;40.530,30;;;27/06/2016;26/12/2018;Aprovado;27/06/2016;
439;108.200;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;2012-0.253.455-0;300.596;TURMA DA TOUCA ASS CULTURAL RECREATIVA E SOCIAL;400.346;CEI INDIR - COHAB ADVENTISTA;160;18;82.182,40;;;01/07/2015;31/12/2017;Aprovado;28/12/2012;01/07/2015
441;108.200;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;2012-0.253.456-9;300.532;MOVIMENTO COMUNITARIO ESTRELA NOVA;306.227;CEI INDIR - ESTRELA NOVA;140;32;77.194,60;;;01/07/2015;31/12/2017;Aprovado;28/12/2012;15/06/2015
1743;108.200;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;2013-0.032.849-1;300.682;ASS PELO DESENVOLVIMENTO EDUCACIONAL E PROFISSIONAL ADEP;400.732;CEI INDIR - EUCLIDES DA CUNHA;152;36;82.766,48;;;17/07/2015;16/01/2018;Aprovado;29/04/2013;20/07/2015
268;108.200;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;2012-0.324.809-8;300.170;ASS DO ABRIGO NOSSA SRA RAINHA DA PAZ DO JD FIM DE SEMANA;400.757;CEI INDIR - FIM DE SEMANA;160;39;86.550,40;;;01/07/2015;31/12/2017;Aprovado;14/02/2014;29/01/2016
443;108.200;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;2012-0.253.463-1;300.416;INSTITUICAO BENEFICENTE PERSIO GUIMARAES AZEVEDO;400.345;CEI INDIR - IRENE IRAPIRANGA;287;54;139.834,13;;;01/07/2015;31/12/2017;Aprovado;31/01/2014;25/06/2015
1606;108.200;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;2013-0.032.843-2;300.416;INSTITUICAO BENEFICENTE PERSIO GUIMARAES AZEVEDO;400.645;CEI INDIR - ISSA KURBHI;200;54;105.470,00;;;17/07/2015;16/01/2018;Aprovado;30/10/2014;20/07/2015
445;108.200;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;2012-0.253.487-9;300.162;ASS DE MORADORES DO JARDIM COMERCIAL E ADJACENCIAS;306.232;CEI INDIR - JARDIM COMERCIAL;70;;40.530,30;;;01/07/2015;31/12/2017;Aprovado;28/12/2012;15/06/2015
299;108.200;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;2012-0.253.488-7;300.596;TURMA DA TOUCA ASS CULTURAL RECREATIVA E SOCIAL;400.382;CEI INDIR - JARDIM DOS REIS;160;21;82.806,40;;;01/07/2015;31/12/2017;Aprovado;28/12/2012;01/02/2016
269;108.200;DIRETORIA REGIONAL DE EDUCACAO CAMPO LIMPO;2012-0.253.464-0;300.593;SOCIEDADE SANTOS MARTIRES;400.381;CEI INDIR - JARDIM FUJIHARA;158;48;87.632,42;;;01/07/2015;31/12/2017;Aprovado;28/12/2012;29/06/2015
