Nº Protocolo,Código DRE,DRE,Processo SIMPROC,Código OSC Parceira,OSC Parceira,CNPJ,Código Escola,Unidade Educacional,Vagas Contratadas,Vagas Berçário Contratadas,Total Mensal,Verba Locação,Valor Mensal IPTU,Data Início,Data Término,Situação Parceria,Data Lavratura do Termo,Data Lavratura do Aditamento,Data Solicitação Parceria,Data do Encerramento
53,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,2012-0.281.971-7,300517,MOSTEIRO SAO GERALDO DE SAO PAULO,61.697.678/0001-60,400460.0,CEI INDIR - ISABEL RIBEIRO,85,17.0,54106.56,,,2015-07-01,2017-12-30,Encerrado,2012-12-21,2012-12-21,2014-03-24,2017-12-30
22017,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,6016.2017/0049967-3,300565,SOCIEDADE BENEFICENTE SAO CAMILO,60.975.737/0001-51,400639.0,CEI INDIR - JARDIM ARPOADOR,174,54.0,108234.12,,,2017-06-03,2019-12-02,Aprovado,2017-06-02,,2017-06-05,
1530,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,2012-0.125.929-7,300565,SOCIEDADE BENEFICENTE SAO CAMILO,60.975.737/0001-51,400639.0,CEI INDIR - JARDIM ARPOADOR,174,54.0,100910.94,,,2014-12-03,2017-06-02,Encerrado,2012-06-01,2013-12-19,2014-12-30,2017-06-02
6262017,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,6016.2017/0048747-0,300464,LIGA DAS SENHORAS CATOLICAS DE SAO PAULO,60.597.044/0001-72,400783.0,CEI INDIR - JARDIM EDITE,171,64.0,109294.77,,,2018-01-01,2022-12-31,Aprovado,2018-01-01,2018-06-30,2017-12-01,
51,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,2012-0.354.449-5,300464,LIGA DAS SENHORAS CATOLICAS DE SAO PAULO,60.597.044/0001-72,400783.0,CEI INDIR - JARDIM EDITE,166,66.0,103112.54,,,2015-07-26,2018-01-25,Encerrado,2013-05-17,2016-01-05,2014-03-24,2017-12-31
7702017,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,6016.2017/0050006-0,300416,INSTITUICAO BENEFICENTE PERSIO GUIMARAES AZEVEDO,62.440.094/0001-77,400633.0,CEI INDIR - JARDIM JAQUELINE,173,75.0,112836.15,,,2018-01-01,2022-12-31,Aprovado,2017-12-19,2018-06-30,2017-12-08,
4865,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,2016-0.248.103-9,300416,INSTITUICAO BENEFICENTE PERSIO GUIMARAES AZEVEDO,62.440.094/0001-77,400633.0,CEI INDIR - JARDIM JAQUELINE,161,63.0,91937.39,,,2017-01-01,2019-06-30,Encerrado,2016-12-09,2016-12-09,2016-12-15,2018-01-01
58,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,2011-0.352.525-1,300416,INSTITUICAO BENEFICENTE PERSIO GUIMARAES AZEVEDO,62.440.094/0001-77,400633.0,CEI INDIR - JARDIM JAQUELINE,161,63.0,91937.39,,,2014-08-01,2016-12-31,Encerrado,2012-02-01,2014-07-28,2014-03-24,2016-12-31
7112017,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,6016.2017/0050066-3,300508,OBRA ASSISTENCIAL JESUS MENINO,01.309.378/0001-34,400413.0,"CEI INDIR - JOAO XXIII, PAPA",112,36.0,75837.66,,,2018-01-01,2022-12-31,Aprovado,2018-01-01,,2017-12-06,
2502,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,2015-0.283.233-6,300508,OBRA ASSISTENCIAL JESUS MENINO,01.309.378/0001-34,400413.0,"CEI INDIR - JOAO XXIII, PAPA",123,27.0,75739.35,,,2015-12-08,2018-06-07,Encerrado,2015-12-08,2016-01-13,2015-12-08,2017-12-31
36,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,2011-0.210.672-7,300508,OBRA ASSISTENCIAL JESUS MENINO,01.309.378/0001-34,400413.0,"CEI INDIR - JOAO XXIII, PAPA",99,99.0,74267.79,,,2014-03-01,2016-08-31,Encerrado,2012-09-11,2015-01-29,2014-03-20,2015-12-08
11082017,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,6016.2017/0050010-8,800023,LAR DO ALVORECER CRISTÃO,51.221.760/0001-60,400408.0,CEI INDIR - LAR DO ALVORECER CRISTAO,133,49.0,88661.67,,,2018-01-01,2022-12-31,Aprovado,2018-01-01,,2017-12-21,
9992017,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,6016.2017/0050010-8,300453,LAR DO ALVORECER CRISTAO,51.221.760/0002-40,400408.0,CEI INDIR - LAR DO ALVORECER CRISTAO,133,49.0,0.0,,,,,Encerrado,,,2017-12-19,2017-12-19
9972017,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,6016.2017/0050010-8,300453,LAR DO ALVORECER CRISTAO,51.221.760/0002-40,400408.0,CEI INDIR - LAR DO ALVORECER CRISTAO,133,49.0,0.0,,,,,Encerrado,,,2017-12-19,2017-12-31
1529,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,2012-0.282.012-0,800023,LAR DO ALVORECER CRISTÃO,51.221.760/0001-60,400408.0,CEI INDIR - LAR DO ALVORECER CRISTAO,136,49.0,83898.7,,,2015-07-01,2017-12-31,Encerrado,2012-12-26,2012-12-26,2014-12-30,2017-12-31
8252017,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,6016.2017/0050001-9,300376,CONJUNTO ASSISTENCIAL NOSSA SENHORA DA CONCEICAO APARECIDA,62.481.064/0001-09,400306.0,CEI INDIR - MAE DO SALVADOR,176,66.0,112015.98,,,2018-01-01,2022-12-31,Aprovado,2018-01-01,,2017-12-13,
46,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,2012-0.282.031-6,300376,CONJUNTO ASSISTENCIAL NOSSA SENHORA DA CONCEICAO APARECIDA,62.481.064/0001-09,400306.0,CEI INDIR - MAE DO SALVADOR,176,66.0,104394.06,,,2015-07-01,2017-12-31,Encerrado,2012-12-21,2012-12-21,2014-03-20,2017-12-31
882017,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,6016.2018/0000238-0,300428,CRUZADA PRO INFANCIA,60.915.790/0001-67,400307.0,CEI INDIR - MARIA DE LOURDES FERRARINI,105,40.0,73410.6,,,2017-08-18,2022-08-17,Aprovado,2017-08-18,2018-05-24,2017-08-18,
57,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,2012-0.157.995-0,300428,CRUZADA PRO INFANCIA,60.915.790/0001-67,400307.0,CEI INDIR - MARIA DE LOURDES FERRARINI,107,40.0,69334.17,,,2015-02-19,2017-08-18,Encerrado,2012-08-17,2016-09-29,2014-03-24,2017-08-18
892017,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,6016.2018/0000257-6,300428,CRUZADA PRO INFANCIA,60.915.790/0001-67,306562.0,CEI INDIR - MARIA TEREZA DE MACEDO COSTA,212,91.0,134157.78,,,2017-08-18,2022-08-17,Aprovado,2017-08-18,2018-05-12,2017-08-18,
55,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,2012-0.158.368-8,300428,CRUZADA PRO INFANCIA,60.915.790/0001-67,306562.0,CEI INDIR - MARIA TEREZA DE MACEDO COSTA,207,71.0,118475.54,,,2015-02-19,2017-08-18,Encerrado,2012-08-17,2016-10-28,2014-03-24,2017-08-18
9052017,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,6016.2017/0050098-1,800036,ASSOCIAÇÃO NOITE ENCANTADA,00.209.352/0001-51,400412.0,CEI INDIR - NOITE ENCANTADA VII,74,14.0,51452.66,,,2018-01-01,2022-12-31,Aprovado,2018-01-01,,2017-12-18,
3748,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,2016-0.157.952-3,800036,ASSOCIAÇÃO NOITE ENCANTADA,00.209.352/0001-51,400412.0,CEI INDIR - NOITE ENCANTADA VII,69,14.0,48814.11,,,2016-07-18,2019-01-17,Encerrado,2016-07-18,2016-07-18,2016-07-19,2017-12-31
9342017,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,6016.2017/0046995-2,300326,CENTRO SOCIAL SANTO DIAS,58.409.871/0001-43,400332.0,CEI INDIR - NOSSA SENHORA ASSUNCAO,70,18.0,50303.74,,,2018-01-01,2022-12-31,Aprovado,2018-01-01,,2017-12-18,
2478,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,2015-0.272.310-3,300326,CENTRO SOCIAL SANTO DIAS,58.409.871/0001-43,400332.0,CEI INDIR - NOSSA SENHORA ASSUNCAO,70,22.0,49198.54,,,2015-11-23,2018-05-22,Encerrado,2015-11-23,2015-11-23,2015-11-23,2017-12-31
29,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,2011-0.112.396-2,300326,CENTRO SOCIAL SANTO DIAS,58.409.871/0001-43,400332.0,CEI INDIR - NOSSA SENHORA ASSUNCAO,70,,38972.0,,,2014-01-01,2016-06-30,Encerrado,2013-12-18,2014-12-19,2014-03-20,2015-11-23
52,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,2012-0.282.046-4,300038,ASS BENEFICENTE CAMINHO DE DAMASCO,01.902.672/0001-55,400412.0,"CEI INDIR - NOVA ERA, MODULO I",69,27.0,48421.44,,,2015-07-01,2017-12-31,Encerrado,2012-12-27,2015-06-30,2014-03-24,2016-07-05
27,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,2012-0.282.053-7,300038,ASS BENEFICENTE CAMINHO DE DAMASCO,01.902.672/0001-55,306206.0,"CEI INDIR - NOVA ERA, MODULO II",69,27.0,48421.44,,,2015-07-01,2017-12-31,Encerrado,2012-12-27,2015-06-30,2014-03-20,2016-07-05
6002017,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,6016.2017/0043133-5,300113,ASS CRIANCA BRASIL,58.373.234/0001-64,400415.0,CEI INDIR - RECANTO DA ALEGRIA III,138,45.0,89940.0,,,2018-01-01,2022-12-31,Aprovado,2018-01-01,,2017-11-30,
34,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,2012-0.282.105-3,300113,ASS CRIANCA BRASIL,58.373.234/0001-64,400415.0,CEI INDIR - RECANTO DA ALEGRIA III,136,45.0,83016.78,,,2015-07-01,2017-12-31,Encerrado,2012-12-28,2016-10-21,2014-03-20,2017-12-31
7862017,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,6016.2017/0046990-1,300113,ASS CRIANCA BRASIL,58.373.234/0001-64,306206.0,CEI INDIR - RECANTO DA ALEGRIA V,79,32.0,58419.85,,,2018-01-01,2022-12-31,Aprovado,2018-01-01,,2017-12-11,
3750,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,2016-0.157.952-3,300113,ASS CRIANCA BRASIL,58.373.234/0001-64,306206.0,CEI INDIR - RECANTO DA ALEGRIA V,79,32.0,58419.85,,,2016-07-18,2019-01-17,Encerrado,2016-07-18,2017-12-28,2016-07-20,2017-12-31
11182017,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,6016.2017/0050106-6,300806,"INSTITUTO LAETARE DE EDUCACAO, CULTURA E CIDADANIA",09.636.869/0001-00,400665.0,CEI INDIR - SANTA ROSA III,67,18.0,48720.61,,,2018-01-01,2022-12-31,Aprovado,2018-01-01,,2017-12-21,
3747,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,2016-0.156.672-3,300806,"INSTITUTO LAETARE DE EDUCACAO, CULTURA E CIDADANIA",09.636.869/0001-00,400665.0,CEI INDIR - SANTA ROSA III,67,18.0,48720.61,,,2016-07-18,2019-01-17,Encerrado,2016-07-18,2016-07-18,2016-07-19,2017-12-31
9172017,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,6016.2017/0043124-6,300549,PROVINCIA CARMELITANA DE SANTO ELIAS,33.621.319/0008-60,400370.0,CEI INDIR - SANTA TEREZA DE JESUS,101,18.0,66183.48,,,2018-01-01,2022-12-31,Aprovado,2018-01-01,,2017-12-18,
32,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,2013-0.066.265-0,300549,PROVINCIA CARMELITANA DE SANTO ELIAS,33.621.319/0008-60,400370.0,CEI INDIR - SANTA TEREZA DE JESUS,101,18.0,63560.18,,,2015-07-26,2018-01-25,Encerrado,2013-04-03,2013-04-03,2014-03-20,2017-12-31
10832017,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,6016.2017/0050049-3,300252,CARITAS DIOCESANA DE CAMPO LIMPO,64.033.061/0001-38,400808.0,CEI INDIR - SAO BENEDITO,166,56.0,105130.68,,,2018-01-01,2022-12-31,Aprovado,2018-01-01,2018-10-06,2017-12-21,
2051,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,2015-0.176.763-8,300252,CARITAS DIOCESANA DE CAMPO LIMPO,64.033.061/0001-38,400808.0,CEI INDIR - SAO BENEDITO,153,80.0,100688.06,,,2015-07-25,2018-01-24,Encerrado,2015-07-25,2015-07-25,2015-08-04,2017-12-31
11092017,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,6016.2017/0046707-0,300582,SOCIEDADE BENEFICENTE SAO LUIZ GONZAGA,69.273.605/0001-52,400416.0,CEI INDIR - SAO LUIS GONZAGA,223,71.0,134276.73,,,2018-01-01,2022-12-31,Aprovado,2018-01-01,,2017-12-21,
24,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,2012-0.282.128-2,300582,SOCIEDADE BENEFICENTE SAO LUIZ GONZAGA,69.273.605/0001-52,400416.0,CEI INDIR - SAO LUIS GONZAGA,223,71.0,125174.42,,,2015-07-01,2017-12-31,Encerrado,2012-12-28,2015-10-01,2014-03-20,2017-12-31
2559,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,2015-0.299.181-7,300126,ASS CULTURAL VITTA,07.246.378/0001-19,306192.0,"CEI INDIR - VILA DALVA, CEI",127,27.0,80682.81,,,2016-01-13,2018-07-12,Encerrado,2016-01-13,2016-01-13,2016-01-13,2017-12-31
1520,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,2013-0.230.417-4,300126,ASS CULTURAL VITTA,07.246.378/0001-19,306192.0,"CEI INDIR - VILA DALVA, CEI",129,18.0,67248.6,,,2013-10-19,2016-04-18,Encerrado,2013-10-18,,2014-12-29,2016-01-13
2270,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,2015-0.241.005-9,800036,ASSOCIAÇÃO NOITE ENCANTADA,00.209.352/0001-51,,CEI NOITE ENCANTADA V,196,123.0,128968.73,19000.0,,2015-10-30,2018-04-29,Encerrado,2015-10-21,,2015-10-07,2015-11-12
5992018,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,6016.2018/0016217-4,800387,ASSOCIAÇÃO CORUJINHA,26.350.594/0001-54,,CORUJINHA IV,99,87.0,0.0,15490.0,1268.16,,,Encerrado,,,2018-03-29,2018-04-02
5782017,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,6016.2017/0048636-9,300921,CENTRO EDUCACIONAL DE DESENVOLV JUVENIL E INFANTIL CEDEJI,13.222.705/0001-03,308451.0,CR.P.CONV - ALECRIM,383,186.0,233619.93,11760.0,198.5,2018-01-01,2022-12-31,Aprovado,2018-01-01,2018-09-28,2017-11-28,
2080,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,2015-0.174.215-5,300921,CENTRO EDUCACIONAL DE DESENVOLV JUVENIL E INFANTIL CEDEJI,13.222.705/0001-03,308451.0,CR.P.CONV - ALECRIM,280,122.0,164930.74,11760.0,198.5,2015-07-25,2018-01-24,Encerrado,2015-07-25,2017-06-21,2015-08-05,2017-12-31
5802017,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,6016.2017/0049991-6,800070,ASSOCIAÇÃO BENEFICENTE ALEGRIA DE APRENDER,18.249.301/0001-19,308408.0,CR.P.CONV - ALEGRIA DE APRENDER,109,49.0,77511.48,7700.0,393.37,2018-01-01,2022-12-31,Aprovado,2018-01-01,2018-01-01,2017-11-28,
2138,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,2015-0.186.490-0,800070,ASSOCIAÇÃO BENEFICENTE ALEGRIA DE APRENDER,18.249.301/0001-19,308408.0,CR.P.CONV - ALEGRIA DE APRENDER,103,54.0,72658.54,7700.0,393.37,2015-07-25,2018-01-24,Encerrado,2015-07-25,2017-06-19,2015-08-07,2017-12-31
7542018,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,6016.2018/0051679-0,800292,ASSOCIAÇÃO BENEFICENTE FOLHINHAS VERDES,21.987.617/0001-12,309267.0,CR.P.CONV - ALEGRIA DO SABER,136,124.0,108041.82,14539.9,,2018-10-04,2023-10-03,Aprovado,2018-10-04,,2018-09-20,
5822017,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,6016.2017/0050111-2,300707,GREMIO RECREATIVO CULTURAL E DUCACIONAL RUBRO VERDE,67.843.045/0001-07,306507.0,CR.P.CONV - BELEZINHA PRIMAVERA,94,33.0,66401.7,5820.58,639.02,2018-01-01,2022-12-31,Aprovado,2018-01-01,2018-01-01,2017-11-28,
2719,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,2016-0.124.684-2,300707,GREMIO RECREATIVO CULTURAL E DUCACIONAL RUBRO VERDE,67.843.045/0001-07,306507.0,CR.P.CONV - BELEZINHA PRIMAVERA,97,36.0,68575.56,5820.5,639.02,2016-06-20,2018-12-19,Encerrado,2016-06-20,2017-06-14,2016-06-21,2017-12-31
572017,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,6016.2018/0000309-2,300464,LIGA DAS SENHORAS CATOLICAS DE SAO PAULO,60.597.044/0001-72,307815.0,CR.P.CONV - CASA DA INFANCIA DO MENINO JESUS,277,127.0,171938.31,,,2017-07-31,2022-07-30,Aprovado,2017-07-31,2018-05-12,2017-07-31,
910,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,2012-0.144.750-6,300464,LIGA DAS SENHORAS CATOLICAS DE SAO PAULO,60.597.044/0001-72,307815.0,CR.P.CONV - CASA DA INFANCIA DO MENINO JESUS,281,128.0,162025.22,,,2015-02-01,2017-07-30,Encerrado,2012-08-01,2016-01-20,2014-07-31,2017-07-30
4172017,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,6016.2017/0042997-7,300255,CASA DA PEQUENA IVETE ASSOCIACAO ASSISTENCIAL,44.694.297/0001-08,306191.0,CR.P.CONV - CASA DA PEQUENA IVETE,66,18.0,48192.9,,,2018-01-01,2022-12-31,Aprovado,2018-01-01,,2017-11-14,
39,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,2012-0.281.907-5,300255,CASA DA PEQUENA IVETE ASSOCIACAO ASSISTENCIAL,44.694.297/0001-08,306191.0,CR.P.CONV - CASA DA PEQUENA IVETE,66,18.0,44957.76,,,2015-07-01,2017-12-31,Encerrado,2012-12-28,2015-06-30,2014-03-20,2017-12-31
1570,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,2012-0.125.936-0,300329,NUCLEO ASSISTENCIAL IRMAO ALFREDO,50.866.490/0001-81,306727.0,CR.P.CONV - COEPE I,129,34.0,77660.74,,,2014-12-02,2017-06-01,Encerrado,2012-06-01,2014-12-01,2015-01-20,2015-10-19
5412017,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,6016.2017/0044113-6,800387,ASSOCIAÇÃO CORUJINHA,26.350.594/0001-54,308943.0,CR.P.CONV - CORUJINHA I,114,78.0,86906.1,15395.0,1401.07,2017-12-05,2022-12-04,Aprovado,2017-12-05,2018-10-06,2017-11-24,
5972018,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,6016.2018/0016214-0,800387,ASSOCIAÇÃO CORUJINHA,26.350.594/0001-54,309103.0,CR.P.CONV - CORUJINHA II,77,54.0,62654.99,11700.0,922.75,2018-04-26,2023-04-25,Aprovado,2018-04-26,,2018-03-29,
6032018,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,6016.2018/0016217-4,800387,ASSOCIAÇÃO CORUJINHA,26.350.594/0001-54,309105.0,CR.P.CONV - CORUJINHA III,99,87.0,81808.32,15490.0,1268.16,2018-05-03,2023-05-02,Aprovado,2018-05-03,,2018-04-02,
6002018,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,6016.2018/0016489-4,800387,ASSOCIAÇÃO CORUJINHA,26.350.594/0001-54,309104.0,CR.P.CONV - CORUJINHA IV,111,87.0,87618.0,15427.0,1485.04,2018-04-26,2023-04-25,Aprovado,2018-04-26,,2018-03-29,
7622018,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,6016.2018/0056335-7,800512,SOCIEDADE AMIGOS DO BAIRRO TERCEIRA DIVISÃO & ADJACÊNCIAS,00.716.578/0001-49,309257.0,CR.P.CONV - CRESCER E APRENDER,67,67.0,60504.13,5728.44,367.54,2018-10-04,2023-10-03,Aprovado,2018-10-04,,2018-09-24,
20170060,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,2017-0.041.969-9,300252,CARITAS DIOCESANA DE CAMPO LIMPO,64.033.061/0001-38,306211.0,CR.P.CONV - DOM EMILIO PIGNOLI,194,,97378.62,13167.0,1148.71,2017-04-28,2019-10-27,Encerrado,2017-04-28,2017-04-28,2017-04-27,2017-12-31
6052017,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,6016.2017/0048784-5,300252,CARITAS DIOCESANA DE CAMPO LIMPO,64.033.061/0001-38,306211.0,CR.P.CONV - DOM EMILIO PIGNOLI,191,34.0,111041.37,13167.0,1148.71,2018-01-01,2022-12-31,Aprovado,2018-01-01,2018-01-01,2017-12-01,
19,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,2012-0.048.707-5,300252,CARITAS DIOCESANA DE CAMPO LIMPO,64.033.061/0001-38,306211.0,CR.P.CONV - DOM EMILIO PIGNOLI,194,,97378.62,18000.0,1148.71,2014-10-29,2017-04-29,Encerrado,2012-04-27,2012-04-27,2014-03-19,2017-04-29
6202017,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,6016.2017/0050038-8,300064,ASS BARAO DE SOUZA QUEIROS DE PROTECAO A INFANCIA E A JUVENT,60.598.539/0001-16,306196.0,"CR.P.CONV - DONA ANA ROSA, INST",288,82.0,166045.26,,,2018-01-01,2022-12-31,Aprovado,2018-01-01,,2017-12-01,
44,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,2012-0.281.934-2,300064,ASS BARAO DE SOUZA QUEIROS DE PROTECAO A INFANCIA E A JUVENT,60.598.539/0001-16,306196.0,"CR.P.CONV - DONA ANA ROSA, INST",300,82.0,159838.06,,,2015-07-01,2017-12-31,Encerrado,2012-12-26,2016-10-10,2014-03-20,2017-12-31
6062017,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,6016.2017/0048789-6,800093,ASSOCIAÇÃO PAIS E FILHOS,11.694.582/0001-70,308673.0,CR.P.CONV - FAZENDO ARTE,80,32.0,58947.56,5950.0,357.12,2018-01-01,2022-12-31,Aprovado,2018-01-01,2018-01-01,2017-12-01,
2667,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,2016-0.095.167-4,800093,ASSOCIAÇÃO PAIS E FILHOS,11.694.582/0001-70,308673.0,CR.P.CONV - FAZENDO ARTE,80,32.0,58947.56,5950.0,,2016-05-31,2018-11-29,Encerrado,2016-05-30,2016-05-30,2016-05-06,2017-12-31
7692017,108100,DIRETORIA REGIONAL DE EDUCACAO BUTANTA,6016.2017/0044040-7,300421,CRECHE FRATERNIDADE MARIA DE NAZARE,57.277.808/0001-38,306194.0,CR.P.CONV - FRATERNIDADE MARIA DE NAZARE,69,24.0,51218.91,,,2018-01-01,2022-12-31,Aprovado,2018-01-01,2019-01-18,2017-12-08,
